"Run_Number","cases_U1_sum","deaths_1_U1_sum","deaths_2_U1_sum","incidence_U1","death_rate_1_U1","death_rate_2_U1","death_rate_mean_U1","average_PfPR_U1"
1,1499250.40611384,5166.83841086781,3739.01826224392,4584.37257345617,15.7990367757577,11.4330819609471,13.6160593683524,0.241162639024369
3,1724967.83895636,5754.70697554363,4225.46744128545,5195.99413194398,17.3344818382658,12.7280657260967,15.0312737821813,0.283060766868233
5,1432650.27988494,4069.22467774569,3074.11566798621,4271.66358205704,12.1330090861602,9.16594100482236,10.6494750454913,0.217620697223812
7,1633549.10973279,4368.33647798018,3182.72460733196,5041.36847188885,13.4813172517927,9.82234779138827,11.6518325215905,0.243930798090892
9,1720849.31321481,5166.8980968277,3555.72293891359,5203.81276625255,15.6245930841951,10.7524326974386,13.1885128908169,0.267532658066167
11,1534705.9911589,4474.07801933463,3498.1461941766,4605.13827071582,13.4252084970672,10.4967642064112,11.9609863517392,0.232189989568117
13,1750623.19635046,5958.2272113092,4043.62819294291,5526.61467762806,18.8097735865213,12.7654968633896,15.7876352249555,0.284550441850169
15,1418577.12208508,4006.68896035453,2921.70182789569,4249.76930819588,12.0032273932165,8.75282602728044,10.3780267102485,0.213477214410865
17,1675930.39251638,4834.78524040059,3560.14151985853,5190.08687178251,14.9725522707505,11.0251856797955,12.998868975273,0.263175440386057
19,1611392.19674095,4086.15119273807,3371.28266826071,5059.27297162919,12.829250587921,10.5847845842556,11.7070175860883,0.255944252842879
21,1558839.63229902,4997.13393663071,3559.63151434313,4721.44362555235,15.1354159095505,10.7814807722869,12.9584483409187,0.243817399133169
23,1714489.69576941,5284.38150241102,3832.32763014737,5138.22416795026,15.8369786738045,11.485259139974,13.6611189068892,0.272838663640608
25,1323420.37481469,4250.34058720535,3150.68331826414,4009.25163611682,12.8762449767277,9.54487515004838,11.210560063388,0.204031554884451
27,1651696.81174432,5929.40967025053,4291.81854188495,5051.38626894535,18.1339204497368,13.1256736085767,15.6297970291567,0.276151488172803
29,1664489.82465583,5281.9533839974,3544.32679862245,5069.34620323827,16.0866410453337,10.7945505784918,13.4405958119128,0.260090621641083
31,1552816.58360999,4768.64183633718,3375.82453255448,4655.56296375346,14.2970602935245,10.1211977201799,12.2091290068522,0.234120327861628
33,1696608.2888565,5233.67509170439,3996.23411573779,5229.15412203889,16.1308263427405,12.3168820028735,14.223854172807,0.283086255221178
35,1369223.78999822,5351.00441384372,3658.73212534726,4135.9076932192,16.1633623979721,11.0516472582408,13.6075048281065,0.208411976205084
37,1623378.12936465,4367.51489496963,3445.82478873359,5077.19596276766,13.6596203872391,10.7769886690601,12.2183045281496,0.277263188349846
39,1633769.50859706,5309.89713912171,3673.62591587579,4900.9797434083,15.9286228451919,11.0201384612861,13.474380653239,0.252773119363654
41,1558411.71217517,5360.56833007959,3694.46093593362,4558.4942992943,15.6801440740832,10.806630227331,13.2433871507071,0.239029200070362
43,1703602.74088726,5499.1605534686,3916.0923726349,5254.90692485888,16.962626426794,12.0795185599598,14.5210724933769,0.285948267486499
45,1286327.31132116,4068.47741057909,3096.57911777428,4060.45990974566,12.8426795217424,9.77475581402682,11.3087176678846,0.212147517537716
47,1585666.32065302,5405.89075366011,3838.73665734799,4952.57632089514,16.8844391731151,11.9896828378775,14.4370610054963,0.271309862494466
49,1672434.90771858,6419.41951986804,4360.06018554569,4995.50080657245,19.1745671184136,13.0233374543166,16.0989522863651,0.267123947417818
