"admin_name","pop_size","pfpr_u5","pfpr_all","mortality_pp_u5","mortality_pp_all","node_id.x","lon.x","lat.x","cluster_id.x","seasonality_archetype.x","deaths_u5","deaths_all","cases_pp_u5","cases_pp_all","node_id.y","lon.y","lat.y","cluster_id.y","seasonality_archetype.y","clinical_cases_u5","clinical_cases_all","mortality_rate_u5","mortality_rate_all","incidence_u5","incidence_all","frac_u5","pop_size_u5"
"Bubanza",201303.876182995,0.148556893268248,0.195176098410503,0.00131929822628249,0.00208389144054055,1,29.42838636,-3.04668647,1,"Gitega",265.579846792015,419.495424525379,1.38923665383745,3.99903661419575,1,29.42838636,-3.04668647,1,"Gitega",279658.723352973,805021.571435324,2.44662081187168,0.694465749779197,2572.49091819056,1333.06273832485,0.180405754785671,36316.3777240744
"Bugarama",195016.1571555,0.0276827402362793,0.0685963471069189,0.000311611743517413,0.000878141849229785,2,29.4303905,-3.72944816,1,"Gitega",60.7693247452912,171.251848874217,0.138665436223709,1.26138799911633,2,29.4303905,-3.72944816,1,"Gitega",27042.0005026389,245991.040269732,0.581060257003364,0.292608815430173,258.062122053838,420.446083246818,0.178568821142819,34823.8052870604
"Buhiga",277009.19890515,0.099382456188653,0.172141894629459,0.000826912576879891,0.00159928396932208,3,30.1393365,-3.0502219,1,"Gitega",229.062390486092,443.016371163757,1.1040821346171,3.7285454393291,3,30.1393365,-3.0502219,1,"Gitega",305840.90763577,1032841.38523001,1.52823733593975,0.53310478359707,2037.50645087192,1242.78313080542,0.180694712826252,50054.0976463963
"Bururi",161565.439110322,0.057550223519901,0.122217023723307,0.000644431136117519,0.00146468850201395,4,29.64527524,-4.00189913,1,"Gitega",104.117799483191,236.643040987723,0.318805519704265,2.23671733838036,4,29.64527524,-4.00189913,1,"Gitega",51507.9537818139,361376.218941093,1.20243983912489,0.48822255163977,587.368391298852,745.496705582954,0.180604242600066,29179.4037608667
"Busoni",218791.205835172,0.377360032801127,0.280900149652654,0.00297301645699582,0.00384392086407215,5,30.25180248,-2.47173859,1,"Gitega",650.469855593925,841.016080985322,3.08530760315731,5.24976198721577,5,30.25180248,-2.47173859,1,"Gitega",675038.170867213,1148601.75553059,5.4413427058666,1.28118265775814,5642.67900820514,1749.93873070343,0.182414836562419,39910.7620537175
"Butezi",125726.232208091,0.281588979392964,0.24852808747794,0.00233415716023328,0.00323434263121531,6,30.17161805,-3.44652457,1,"Gitega",293.464785137668,406.641712692705,2.25920697326095,4.66211561116231,6,30.17161805,-3.44652457,1,"Gitega",284041.580526344,586150.229909958,4.39157962421145,1.07808950067766,4236.96986165976,1554.00941516476,0.178544546124189,22447.733065498
"Buye",194429.100944065,0.164326682440768,0.200255834271492,0.0014292746020302,0.00221657398154244,7,29.8634721,-2.84840217,1,"Gitega",277.892575874918,430.966486407302,1.61559767404664,4.17157454495892,7,29.8634721,-2.84840217,1,"Gitega",314119.203252211,811075.48829751,2.63897911938792,0.738943906735627,2963.2276879557,1390.60405262419,0.181719299101077,35331.519948408
"Cankuzo",179215.356633093,0.17511707958866,0.222730813725407,0.00143623339813378,0.00234469972248971,8,30.52891483,-3.14505865,1,"Gitega",257.395080654904,420.206196963508,1.89197355286143,4.92101301256615,8,30.52891483,-3.14505865,1,"Gitega",339070.715016441,881921.102043133,2.65089549480952,0.781536872824774,3489.03911605959,1640.34575394573,0.180700599486421,32384.3223807726
"Cibitoke",305498.934537512,0.168893036245859,0.204171302283251,0.00134598411898995,0.00223513128108253,9,29.19244319,-2.90271457,1,"Gitega",411.196714255842,682.830224922177,1.3957950601538,3.9487552022775,9,29.19244319,-2.90271457,1,"Gitega",426413.903709707,1206340.50704523,2.53304181425764,0.745179673402566,2624.50646581511,1316.25086497071,0.177621217853104,54263.0928053785
"Fota",170992.624432377,0.0296775575786484,0.0844491963236115,0.000375465214694832,0.000973552683176736,10,29.67894889,-3.45736142,1,"Gitega",64.2017824437352,166.470328319572,0.259210221038762,1.85195833315031,10,29.67894889,-3.45736142,1,"Gitega",44323.0359751145,316671.215724782,0.706540381414155,0.324541492675707,489.177517032433,617.307718076313,0.177217548417162,30302.8936993224
