"month","year","date","mean_burden","max_burden","min_burden","scenario"
1,2012,"2012-01-01",0.597229789918488,3.90011391352539,0.0626980047309098,"to-present"
1,2013,"2013-01-01",0.386102274656515,3.51421982317649,0.0576332932655563,"to-present"
1,2014,"2014-01-01",0.475090635733351,1.96306129655735,0.0561491556233924,"to-present"
1,2015,"2015-01-01",0.23821247777691,2.25381116229188,0.0513407705240294,"to-present"
1,2016,"2016-01-01",0.383855055032155,3.45184840239913,0.0496068039409761,"to-present"
1,2017,"2017-01-01",0.340270437454484,1.93627297137489,0.0496481479952789,"to-present"
1,2018,"2018-01-01",0.149453188749269,1.6405342502029,0.0500102231225545,"to-present"
1,2019,"2019-01-01",0.309665803045401,2.07709583261917,0.0512809523776807,"to-present"
1,2020,"2020-01-01",0.324895682550693,1.97628500191127,0.0502740231166842,"to-present"
2,2012,"2012-02-01",0.375677564309616,2.21892855377912,0.06081032509763,"to-present"
2,2013,"2013-02-01",0.42197699121119,3.86958429161001,0.0593666790867392,"to-present"
2,2014,"2014-02-01",0.483829667456558,2.07461917190688,0.0561591130489768,"to-present"
2,2015,"2015-02-01",0.213898505053696,1.74843491092192,0.0507415897434863,"to-present"
2,2016,"2016-02-01",0.447688041324459,2.66672391032777,0.0516143060177557,"to-present"
2,2017,"2017-02-01",0.342570830610879,1.98300082554762,0.0508722771012803,"to-present"
2,2018,"2018-02-01",0.145375806134859,0.889876483541226,0.0513814429266482,"to-present"
2,2019,"2019-02-01",0.491999352367703,3.45595840934712,0.05195718399158,"to-present"
2,2020,"2020-02-01",0.213365583728818,1.95977107438325,0.0505898827164812,"to-present"
3,2012,"2012-03-01",0.373268870326563,2.37976459506589,0.0612036120101015,"to-present"
3,2013,"2013-03-01",0.367576621827141,1.92146792527015,0.0573103196803503,"to-present"
3,2014,"2014-03-01",0.30911491204333,2.00644147769845,0.0541131945735221,"to-present"
3,2015,"2015-03-01",0.165974246972347,1.69573767866013,0.0484273043225463,"to-present"
3,2016,"2016-03-01",0.212594732023871,1.95599262033569,0.0493681656804505,"to-present"
3,2017,"2017-03-01",0.268135399213868,1.84664947419022,0.0490581180668963,"to-present"
3,2018,"2018-03-01",0.107801734510726,1.61784427963867,0.0499785942003497,"to-present"
3,2019,"2019-03-01",0.226427416312628,1.84880036698557,0.0516784766235187,"to-present"
3,2020,"2020-03-01",0.142583402666569,1.69298090997782,0.0510022441220682,"to-present"
4,2012,"2012-04-01",0.388802630298023,1.97451432173715,0.061824483701135,"to-present"
4,2013,"2013-04-01",0.502145064102689,3.49313983552774,0.0576043861279293,"to-present"
4,2014,"2014-04-01",0.294415687446584,1.8824719407279,0.0545206655083599,"to-present"
4,2015,"2015-04-01",0.11788358704678,1.6714746552662,0.0468417064131687,"to-present"
4,2016,"2016-04-01",0.196620285906663,1.72179009658065,0.049911922527548,"to-present"
4,2017,"2017-04-01",0.2842680195926,1.80712800646668,0.0508404383017656,"to-present"
4,2018,"2018-04-01",0.200475574951274,1.84049650651482,0.0507301108663409,"to-present"
4,2019,"2019-04-01",0.29623491784064,1.90784515786641,0.051544272199498,"to-present"
4,2020,"2020-04-01",0.150699703836093,1.35484340662792,0.0499176930005174,"to-present"
5,2012,"2012-05-01",0.499994707495051,3.97881125688553,0.0624544910485454,"to-present"
5,2013,"2013-05-01",0.382737561996514,1.99467303375231,0.0581822455665698,"to-present"
5,2014,"2014-05-01",0.31440040045541,2.07455334427667,0.0540698904768749,"to-present"
5,2015,"2015-05-01",0.129368868003292,1.65091201375625,0.047107119272914,"to-present"
5,2016,"2016-05-01",0.313609448100316,3.03583669546464,0.0491316369116612,"to-present"
5,2017,"2017-05-01",0.18290226737886,1.60696428516545,0.050071340119793,"to-present"
5,2018,"2018-05-01",0.126754555158633,1.43864289431408,0.051131330163232,"to-present"
5,2019,"2019-05-01",0.303897432035862,1.74171099552964,0.0511771575292735,"to-present"
5,2020,"2020-05-01",0.171904378006807,2.02237112051411,0.0498730573158137,"to-present"
6,2012,"2012-06-01",0.59405902390002,2.44355898628536,0.0627202107070224,"to-present"
6,2013,"2013-06-01",0.34986695502256,2.08091551438004,0.0595569045955186,"to-present"
6,2014,"2014-06-01",0.37176090403193,2.50999610966072,0.0542352424138279,"to-present"
6,2015,"2015-06-01",0.218054571002406,1.62920929027765,0.0459961246410429,"to-present"
6,2016,"2016-06-01",0.32766338451915,1.96903033079699,0.0495155193032328,"to-present"
6,2017,"2017-06-01",0.342512139524186,2.80201685319584,0.0505329169636508,"to-present"
6,2018,"2018-06-01",0.113079695085459,0.396026982967171,0.0506742494610661,"to-present"
6,2019,"2019-06-01",0.277186140982813,2.46104824489482,0.0513487242153558,"to-present"
6,2020,"2020-06-01",0.17570128712531,1.67972863302867,0.049584030941036,"to-present"
7,2012,"2012-07-01",0.466845612410228,3.47905474329878,0.06252559642338,"to-present"
7,2013,"2013-07-01",0.359643563054254,2.19559361221883,0.058799312785609,"to-present"
7,2014,"2014-07-01",0.286956102525519,1.99717942949387,0.0540750073361708,"to-present"
7,2015,"2015-07-01",0.165325895378683,2.02890107031461,0.0456769367064402,"to-present"
7,2016,"2016-07-01",0.218715084148985,1.5297166911919,0.0492273556402522,"to-present"
7,2017,"2017-07-01",0.195021599322673,1.30360933781729,0.0508350529023126,"to-present"
7,2018,"2018-07-01",0.144011680256512,1.61415677074411,0.0505625499626471,"to-present"
7,2019,"2019-07-01",0.367466211357122,2.5128474554244,0.0513064632104316,"to-present"
7,2020,"2020-07-01",0.179514434852099,1.70256552851264,0.04930244490869,"to-present"
