"admin_name","pop_size","pfpr_u1","mortality_pp_u1","node_id.x","lon.x","lat.x","cluster_id.x","seasonality_archetype.x","deaths_u1","cases_pp_u1","node_id.y","lon.y","lat.y","cluster_id.y","seasonality_archetype.y","clinical_cases_u1","mortality_rate_u1","incidence_u1","frac_u1","pop_size_u1"
"Busoni",218791.205835172,0.179668554135726,0.00126417760451649,5,30.25180248,-2.47173859,1,"Gitega",276.590942481982,0.467519133591163,5,30.25180248,-2.47173859,1,"Gitega",102289.074989425,10.1273066575082,3762.83639893824,0.0414212483770142,9062.60487960511
"Buye",194429.100944065,0.0562942363399434,0.000633540791093541,7,29.8634721,-2.84840217,1,"Gitega",123.178766423709,0.172430020250585,7,29.8634721,-2.84840217,1,"Gitega",33525.4138130882,5.04534909586912,1361.3083711488,0.0422882701530979,8222.07034634655
"Gashoho",175175.077974295,0.140302441283168,0.00104914793688484,12,30.20685363,-2.81184823,1,"Gitega",183.784571650372,0.446914649997986,12,30.20685363,-2.81184823,1,"Gitega",78288.308661252,8.53544085246971,3588.84955989056,0.0416410869530423,7294.48065393359
"Gihofi",293350.813541338,0.0757438731218147,0.000714677303032261,13,30.11562611,-3.91875872,1,"Gitega",209.651168264043,0.203572683509414,13,30.11562611,-3.91875872,1,"Gitega",59718.2123222799,5.7257051496858,1615.13327793225,0.042193433897658,12377.4781599806
"Kinyinya",335969.532434028,0.196789825367703,0.00146955438384733,22,30.41267628,-3.52205978,1,"Gitega",493.725499227565,0.557198097414126,22,30.41267628,-3.52205978,1,"Gitega",187201.584261354,12.0779971653447,4558.95039361786,0.0409576815948402,13760.5331350003
"Kiremba",294281.031087941,0.210464484839942,0.00165815514951395,23,30.02654773,-2.83495738,1,"Gitega",487.963607102744,0.54773633435194,23,30.02654773,-2.83495738,1,"Gitega",161188.413237418,13.6533775472464,4486.35849170614,0.0406402263212251,11959.6477054574
"Kirundo",256307.246344997,0.183028771380174,0.00137185424129969,24,30.06174634,-2.49096793,1,"Gitega",351.616182974229,0.531912476168128,24,30.06174634,-2.49096793,1,"Gitega",136333.022063202,11.5125957649451,4406.22469089469,0.040336950398331,10338.6526825509
"Mukenke",165895.919547284,0.172115018563025,0.00125881411099644,29,30.2945314,-2.59545461,1,"Gitega",208.832124482851,0.579470006332396,29,30.2945314,-2.59545461,1,"Gitega",96131.7095505833,10.3692331813517,4752.46913984114,0.0409436622422799,6792.38649731644
"Murore",149893.801163942,0.173935987175506,0.0015009438994133,31,30.73189158,-3.13601584,1,"Gitega",224.982186416889,0.475840965828805,31,30.73189158,-3.13601584,1,"Gitega",71325.6111176011,11.8680817280223,3781.07956072349,0.0421295589317763,6314.95972964425
"Muyinga",326814.238908712,0.104665770798423,0.000934595376414923,34,30.3660234,-2.92732926,1,"Gitega",305.439076630644,0.282542439222321,34,30.3660234,-2.92732926,1,"Gitega",92338.8922338538,7.62762739887688,2298.19831045332,0.0406289290164566,13278.1125141893
"Vumbi",220988.71850429,0.202519242430515,0.00144884218584629,43,30.03599031,-2.63887858,1,"Gitega",320.177777965126,0.561645691388548,43,30.03599031,-2.63887858,1,"Gitega",124117.361593411,11.6739704904157,4520.66853653541,0.041368744617904,9142.02585924186
