"admin_name","pop_size","pfpr_u1","mortality_pp_u1","node_id.x","lon.x","lat.x","cluster_id.x","seasonality_archetype.x","deaths_u1","cases_pp_u1","node_id.y","lon.y","lat.y","cluster_id.y","seasonality_archetype.y","clinical_cases_u1","mortality_rate_u1","incidence_u1","frac_u1","pop_size_u1"
"Busoni",218791.205835172,0.265419785693708,0.001648437726524,5,30.25180248,-2.47173859,1,"Gitega",360.663677930376,0.670657672647086,5,30.25180248,-2.47173859,1,"Gitega",146734.000901066,13.1435899168753,5343.84115135479,0.0416959707286757,9122.71171419499
"Buye",194429.100944065,0.0797871291724588,0.000565108718596261,7,29.8634721,-2.84840217,1,"Gitega",109.873580092324,0.226265760455685,7,29.8634721,-2.84840217,1,"Gitega",43992.648379824,4.69590761381154,1863.90868997862,0.0404067723446978,7856.2524190311
"Gashoho",175175.077974295,0.202794912953317,0.00112619619645195,12,30.20685363,-2.81184823,1,"Gitega",197.281506527825,0.584771260010384,12,30.20685363,-2.81184823,1,"Gitega",102437.351069446,9.26513920408211,4858.39782520672,0.0404853456591675,7092.02358266096
"Gihofi",293350.813541338,0.119111054331584,0.000822912953185185,13,30.11562611,-3.91875872,1,"Gitega",241.402184290579,0.301062647612597,13,30.11562611,-3.91875872,1,"Gitega",88316.9726040645,6.56826535735658,2390.14493737446,0.0422576541347421,12396.3172187751
"Kinyinya",335969.532434028,0.286579509397298,0.00186862520524051,22,30.41267628,-3.52205978,1,"Gitega",627.801136499094,0.78348776285815,22,30.41267628,-3.52205978,1,"Gitega",263228.017355235,15.3090113319105,6368.02594619425,0.0409716055360443,13765.2111550162
"Kiremba",294281.031087941,0.289880912253906,0.00200875386932184,23,30.02654773,-2.83495738,1,"Gitega",591.138159865921,0.74989831139764,23,30.02654773,-2.83495738,1,"Gitega",220680.848289203,15.9295467891527,6048.16921454042,0.041233503547387,12134.2379392933
"Kirundo",256307.246344997,0.280148120708397,0.00177359812693148,24,30.06174634,-2.49096793,1,"Gitega",454.586052036451,0.780292128308694,24,30.06174634,-2.49096793,1,"Gitega",199994.526751478,14.3188603366279,6261.31551376908,0.0415758451952241,10656.1903964538
"Mukenke",165895.919547284,0.254719173434102,0.0014886061248431,29,30.2945314,-2.59545461,1,"Gitega",246.953681924565,0.820572682105405,29,30.2945314,-2.59545461,1,"Gitega",136129.659653257,12.1548664414782,6685.90460971552,0.0408190525099143,6771.71425118111
"Murore",149893.801163942,0.254825142831888,0.00168678193762502,31,30.73189158,-3.13601584,1,"Gitega",252.838156365293,0.664251561252574,31,30.73189158,-3.13601584,1,"Gitega",99567.1914452314,13.4457552240185,5291.4414957528,0.0420253257192066,6299.33581720465
"Muyinga",326814.238908712,0.153800068023761,0.00122491885734568,34,30.3660234,-2.92732926,1,"Gitega",400.320924088358,0.411751412737072,34,30.3660234,-2.92732926,1,"Gitega",134566.224573253,9.99695623684029,3276.08865614468,0.0418354301323644,13672.4142581273
"Vumbi",220988.71850429,0.304709510611111,0.00220672038864059,43,30.03599031,-2.63887858,1,"Gitega",487.660310782972,0.785120307052345,43,30.03599031,-2.63887858,1,"Gitega",173502.730527192,18.0272347095096,6429.80144839639,0.0407260492776026,8999.99743959997
