"year","mean_coverage","max_coverage","min_coverage","scenario"
2012,0.463663394480477,0.499343895464602,0.427295503315411,"to-present"
2013,0.502088485611548,0.531105916575293,0.476575822257903,"to-present"
2014,0.540513576742619,0.562867937685983,0.524773373368233,"to-present"
2015,0.578938667873691,0.594629958796674,0.563576377559348,"to-present"
2016,0.617363759004762,0.630089732819412,0.597841973495929,"to-present"
2017,0.617363759004762,0.630089732819412,0.597841973495929,"to-present"
2018,0.617363759004762,0.630089732819412,0.597841973495929,"to-present"
2019,0.617363759004762,0.630089732819412,0.597841973495929,"to-present"
2020,0.617363759004762,0.630089732819412,0.597841973495929,"to-present"
2021,0.617363759004762,0.630089732819412,0.597841973495929,"BAU"
2022,0.617363759004762,0.630089732819412,0.597841973495929,"BAU"
2023,0.617363759004762,0.630089732819412,0.597841973495929,"BAU"
2024,0.617363759004762,0.630089732819412,0.597841973495929,"BAU"
2025,0.617363759004762,0.630089732819412,0.597841973495929,"BAU"
2026,0.617363759004762,0.630089732819412,0.597841973495929,"BAU"
2027,0.617363759004762,0.630089732819412,0.597841973495929,"BAU"
2028,0.617363759004762,0.630089732819412,0.597841973495929,"BAU"
2029,0.617363759004762,0.630089732819412,0.597841973495929,"BAU"
2030,0.617363759004762,0.630089732819412,0.597841973495929,"BAU"
2021,0.651810827780409,0.663078258702287,0.634065869819225,"GF"
2022,0.651810827780409,0.663078258702287,0.634065869819225,"GF"
2023,0.651810827780409,0.663078258702287,0.634065869819225,"GF"
2024,0.651810827780409,0.663078258702287,0.634065869819225,"GF"
2025,0.651810827780409,0.663078258702287,0.634065869819225,"GF"
2026,0.651810827780409,0.663078258702287,0.634065869819225,"GF"
2027,0.651810827780409,0.663078258702287,0.634065869819225,"GF"
2028,0.651810827780409,0.663078258702287,0.634065869819225,"GF"
2029,0.651810827780409,0.663078258702287,0.634065869819225,"GF"
2030,0.651810827780409,0.663078258702287,0.634065869819225,"GF"
2021,0.651810827780409,0.663078258702287,0.634065869819225,"GF with PBO"
2022,0.651810827780409,0.663078258702287,0.634065869819225,"GF with PBO"
2023,0.651810827780409,0.663078258702287,0.634065869819225,"GF with PBO"
2024,0.651810827780409,0.663078258702287,0.634065869819225,"GF with PBO"
2025,0.651810827780409,0.663078258702287,0.634065869819225,"GF with PBO"
2026,0.651810827780409,0.663078258702287,0.634065869819225,"GF with PBO"
2027,0.651810827780409,0.663078258702287,0.634065869819225,"GF with PBO"
2028,0.651810827780409,0.663078258702287,0.634065869819225,"GF with PBO"
2029,0.651810827780409,0.663078258702287,0.634065869819225,"GF with PBO"
2030,0.651810827780409,0.663078258702287,0.634065869819225,"GF with PBO"
2021,0.803509975032121,0.805493204423722,0.801056587849907,"GF at 80%"
2022,0.803509975032121,0.805493204423722,0.801056587849907,"GF at 80%"
2023,0.803509975032121,0.805493204423722,0.801056587849907,"GF at 80%"
2024,0.803509975032121,0.805493204423722,0.801056587849907,"GF at 80%"
2025,0.803509975032121,0.805493204423722,0.801056587849907,"GF at 80%"
2026,0.803509975032121,0.805493204423722,0.801056587849907,"GF at 80%"
2027,0.803509975032121,0.805493204423722,0.801056587849907,"GF at 80%"
2028,0.803509975032121,0.805493204423722,0.801056587849907,"GF at 80%"
2029,0.803509975032121,0.805493204423722,0.801056587849907,"GF at 80%"
2030,0.803509975032121,0.805493204423722,0.801056587849907,"GF at 80%"
2021,0.803509975032121,0.805493204423722,0.801056587849907,"GF at 80% with PBO"
2022,0.803509975032121,0.805493204423722,0.801056587849907,"GF at 80% with PBO"
2023,0.803509975032121,0.805493204423722,0.801056587849907,"GF at 80% with PBO"
2024,0.803509975032121,0.805493204423722,0.801056587849907,"GF at 80% with PBO"
2025,0.803509975032121,0.805493204423722,0.801056587849907,"GF at 80% with PBO"
2026,0.803509975032121,0.805493204423722,0.801056587849907,"GF at 80% with PBO"
2027,0.803509975032121,0.805493204423722,0.801056587849907,"GF at 80% with PBO"
2028,0.803509975032121,0.805493204423722,0.801056587849907,"GF at 80% with PBO"
2029,0.803509975032121,0.805493204423722,0.801056587849907,"GF at 80% with PBO"
2030,0.803509975032121,0.805493204423722,0.801056587849907,"GF at 80% with PBO"
2020,0.617363759004762,0.630089732819412,0.597841973495929,"BAU"
2020,0.617363759004762,0.630089732819412,0.597841973495929,"GF"
2020,0.617363759004762,0.630089732819412,0.597841973495929,"GF with PBO"
2020,0.617363759004762,0.630089732819412,0.597841973495929,"GF at 80%"
2020,0.617363759004762,0.630089732819412,0.597841973495929,"GF at 80% with PBO"
