"year","date","mean_coverage","max_coverage","min_coverage","new_net_per_cap","irs_per_cap","scenario"
2012,2012-01-01,0.160970615552386,0.191439222324677,0.135636192534865,0.00670812370704774,0,"to-present"
2012,2012-02-01,0.156043406737386,0.184952421394937,0.12985936797743,0.00623029031176979,0,"to-present"
2012,2012-03-01,0.151342781835408,0.179072549644535,0.124175168012978,0.0067699718511326,0,"to-present"
2012,2012-04-01,0.147137754385895,0.173879817140212,0.120717741795032,0.00652407358130376,0,"to-present"
2012,2012-05-01,0.143172011702184,0.16772562524747,0.116726419359304,0.00688808647829912,0,"to-present"
2012,2012-06-01,0.139971969180953,0.16330553337713,0.114253750062816,0.00660353658636028,0,"to-present"
2012,2012-07-01,0.136566325795474,0.157971989900994,0.111199313279956,0.00649609745686674,0,"to-present"
2012,2012-08-01,0.133244304610348,0.152454412448225,0.109729076569552,0.0067921005198244,0,"to-present"
2012,2012-09-01,0.130426098453827,0.149268555978361,0.109135255410033,0.00662016285421986,0,"to-present"
2012,2012-10-01,0.128127826412953,0.145344501174792,0.107842516076698,0.00706317854365145,0,"to-present"
2012,2012-11-01,0.125727004497718,0.141890907124576,0.105291330810951,0.00637152482770456,0,"to-present"
2012,2012-12-01,0.123620809008027,0.139239321311298,0.102909454885237,0.00710960805257125,0,"to-present"
2013,2013-01-01,0.122023858114546,0.137022547505151,0.101893053517792,0.00750990812219592,0,"to-present"
2013,2013-02-01,0.120922705559419,0.134751236351204,0.101300725902367,0.00672038596942534,0,"to-present"
2013,2013-03-01,0.119755453801286,0.132621411745534,0.100174878552827,0.00761531807273151,0,"to-present"
2013,2013-04-01,0.118877556631131,0.131382132959447,0.0988656273875598,0.00731095854391864,0,"to-present"
2013,2013-05-01,0.117962310188002,0.130235426490674,0.0982089752685571,0.0075331522895458,0,"to-present"
2013,2013-06-01,0.116960512039937,0.128929441581827,0.0969436335057432,0.00709341782275006,0,"to-present"
2013,2013-07-01,0.115897968297058,0.128493950203691,0.0962319518183418,0.00724511255679403,0,"to-present"
2013,2013-08-01,0.115069875170315,0.127375024393053,0.0956424612377502,0.00768529627978478,0,"to-present"
2013,2013-09-01,0.114549390429038,0.125672666656734,0.0958516487658543,0.00741792788606277,0,"to-present"
2013,2013-10-01,0.113987456153971,0.126452506041484,0.0962115147771901,0.00735123321473525,0,"to-present"
2013,2013-11-01,0.113389444939425,0.125665880980089,0.0961800510807534,0.00734919614559044,0,"to-present"
2013,2013-12-01,0.112727789484534,0.125214839670305,0.0951925894965782,0.00731197873449934,0,"to-present"
2014,2014-01-01,0.112535662249386,0.12542293737632,0.0937688026248725,0.00819891615683766,0,"to-present"
2014,2014-02-01,0.112552921403735,0.125264377032602,0.092882305744999,0.00717816265565243,0,"to-present"
2014,2014-03-01,0.112368872826954,0.124016458748116,0.0928148816212356,0.00774592192882636,0,"to-present"
2014,2014-04-01,0.1121480008534,0.122941410421334,0.0925561848373138,0.00793283969960346,0,"to-present"
2014,2014-05-01,0.112199406067605,0.123689753490896,0.0931888546815715,0.00818311444550448,0,"to-present"
2014,2014-06-01,0.112327656319614,0.123669321396979,0.0943939515542794,0.00784011043596031,0,"to-present"
2014,2014-07-01,0.402058197175926,0.462911691387757,0.336348781258078,0.698373194655972,0,"to-present"
2014,2014-08-01,0.63928278783225,0.745380566873428,0.5236875761703,0.00817402753161055,0,"to-present"
2014,2014-09-01,0.630603225706171,0.735801340615519,0.516039214885373,0.00784556393616401,0,"to-present"
2014,2014-10-01,0.611475353908001,0.713302704609031,0.501593412732681,0.00830533423581537,0,"to-present"
2014,2014-11-01,0.584272371409325,0.684663855405875,0.480829922165026,0.00804681419504292,0,"to-present"
2014,2014-12-01,0.551945900840927,0.648921613581023,0.455538265502464,0.0083371575222271,0,"to-present"
2015,2015-01-01,0.518283325451017,0.61045547982937,0.428623586709209,0.00901067014239936,0,"to-present"
2015,2015-02-01,0.485788796773385,0.572909322530695,0.401923165308942,0.00797055716541322,0,"to-present"
2015,2015-03-01,0.455118287031065,0.537734319554389,0.377353765788104,0.00877527766126083,0,"to-present"
2015,2015-04-01,0.425199690758814,0.500480575792138,0.353719588664866,0.00855994687464626,0,"to-present"
2015,2015-05-01,0.39740625461452,0.467702997191041,0.332037473485853,0.00866544251325693,0,"to-present"
2015,2015-06-01,0.371909993894971,0.435962370411825,0.312104649281127,0.00854875090217008,0,"to-present"
2015,2015-07-01,0.348514500038524,0.408406677120513,0.293267113698218,0.00857079799178814,0,"to-present"
2015,2015-08-01,0.327415152659061,0.381516911189497,0.278245841059649,0.00896142091007246,0,"to-present"
2015,2015-09-01,0.309190788847975,0.360669316458301,0.264101816480089,0.00883862743818927,0,"to-present"
2015,2015-10-01,0.29242463023043,0.341343102165359,0.250790279524516,0.00864058320085756,0,"to-present"
2015,2015-11-01,0.27717708053389,0.320741957027839,0.237549476493647,0.00849313069833569,0,"to-present"
2015,2015-12-01,0.263083544785133,0.303695699738304,0.226376684356733,0.00861655119713324,0,"to-present"
2016,2016-01-01,0.2509386448983,0.289969148429474,0.216402765842611,0.00954148882618582,0,"to-present"
2016,2016-02-01,0.240254596034885,0.276723504766458,0.207992796529544,0.00827404544308071,0,"to-present"
2016,2016-03-01,0.230574989982361,0.264693024697677,0.199909379066844,0.00891733822061121,0,"to-present"
2016,2016-04-01,0.221630658393439,0.253131658867499,0.189798317951947,0.00937785188589324,0,"to-present"
2016,2016-05-01,0.214065671099429,0.242465416847572,0.182946638443913,0.00959047358843873,0,"to-present"
