"X","admin_name","year","seed","U5_coverage","adult_coverage","severe_coverage","simday","duration"
461,"Bubanza",2021,1,0.73167701863354,0.402857142857142,0.9,0,-1
462,"Bugarama",2021,1,0.238461538461539,0.076923076923077,0.6,0,-1
463,"Buhiga",2021,1,0.795454545454546,0.386363636363637,0.9,0,-1
464,"Bururi",2021,1,0.318918918918919,0.121621621621622,0.6,0,-1
465,"Busoni",2021,1,0.723863636363636,0.398863636363636,0.9,0,-1
466,"Butezi",2021,1,0.71578947368421,0.394736842105263,0.9,0,-1
467,"Buye",2021,1,0.767741935483871,0.421290322580645,0.9,0,-1
468,"Cankuzo",2021,1,0.7984,0.43696,0.9,0,-1
469,"Cibitoke",2021,1,0.676795580110498,0.374806629834254,0.9,0,-1
470,"Fota",2021,1,0.629411764705882,0.294117647058823,0.9,0,-1
471,"Gahombo",2021,1,0.74421052631579,0.357894736842105,0.9,0,-1
472,"Gashoho",2021,1,0.806542056074767,0.441121495327103,0.9,0,-1
473,"Gihofi",2021,1,0.672142857142857,0.372428571428572,0.9,0,-1
474,"Gitega",2021,1,0.677777777777778,0.375308641975309,0.9,0,-1
475,"Giteranyi",2021,1,0.818705035971223,0.447338129496404,0.9,0,-1
476,"Isale",2021,1,0.453571428571429,0.196428571428572,0.785714285714286,0,-1
477,"Kabezi",2021,1,0.341463414634146,0.134146341463415,0.6,0,-1
478,"Kayanza",2021,1,0.732231404958677,0.351239669421487,0.9,0,-1
479,"Kibumbu",2021,1,0.720388349514564,0.344660194174758,0.9,0,-1
480,"Kibuye",2021,1,0.739473684210527,0.406842105263158,0.9,0,-1
481,"Kiganda",2021,1,0.577692307692308,0.265384615384615,0.9,0,-1
482,"Kinyinya",2021,1,0.775,0.425,0.9,0,-1
483,"Kiremba",2021,1,0.746153846153846,0.41025641025641,0.9,0,-1
484,"Kirundo",2021,1,0.793333333333333,0.43437037037037,0.9,0,-1
485,"Mabayi",2021,1,0.789781021897811,0.432554744525548,0.9,0,-1
486,"Makamba",2021,1,0.574193548387097,0.32236559139785,0.9,0,-1
487,"Matana",2021,1,0.388,0.16,0.64,0,-1
488,"Mpanda",2021,1,0.633333333333334,0.352592592592593,0.9,0,-1
489,"Mukenke",2021,1,0.871428571428571,0.474285714285714,0.9,0,-1
490,"Muramvya",2021,1,0.376923076923077,0.153846153846154,0.615384615384616,0,-1
491,"Murore",2021,1,0.741860465116279,0.408062015503876,0.9,0,-1
492,"Musema",2021,1,0.752173913043478,0.36231884057971,0.9,0,-1
493,"Mutaho",2021,1,0.797752808988764,0.436629213483146,0.9,0,-1
494,"Muyinga",2021,1,0.725263157894737,0.399578947368421,0.9,0,-1
495,"Ngozi",2021,1,0.709868421052631,0.391710526315789,0.9,0,-1
496,"Nyabikere",2021,1,0.8875,0.4375,0.9,0,-1
