"","year","admin_name","seed","access","simday","duration","coverage","net_life_lognormal_mu","net_life_lognormal_sigma","bio_mortality","indoor_net_protection","block_initial","kill_initial"
"1",2021,"Bubanza",41,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,0.695349110287058,0.40711958605015
"2",2021,"Bubanza",48,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,0.684900947951403,0.255212958343791
"3",2021,"Bubanza",51,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,0.79821104053477,0.40711958605015
"4",2021,"Bubanza",9,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,0.695349110287058,0.40711958605015
"5",2021,"Bubanza",14,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,0.628835591830297,0.255212958343792
"6",2021,"Bubanza",35,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,0.79821104053477,0.40711958605015
"7",2021,"Bubanza",38,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,0.628835591830297,0.255212958343792
"8",2021,"Bubanza",32,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,0.684900947951403,0.255212958343791
"9",2021,"Bubanza",21,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,0.695349110287058,0.40711958605015
"10",2021,"Bubanza",28,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,0.684900947951403,0.255212958343791
"11",2021,"Bubanza",43,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,0.79821104053477,0.40711958605015
"12",2021,"Bubanza",19,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,0.79821104053477,0.40711958605015
"13",2021,"Bubanza",42,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,0.628835591830297,0.255212958343792
"14",2021,"Bubanza",25,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,0.695349110287058,0.40711958605015
"15",2021,"Bubanza",22,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,0.628835591830297,0.255212958343792
"16",2021,"Bubanza",36,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,0.684900947951403,0.255212958343791
"17",2021,"Bubanza",34,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,0.628835591830297,0.255212958343792
"18",2021,"Bubanza",18,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,0.628835591830297,0.255212958343792
"19",2021,"Bubanza",23,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,0.79821104053477,0.40711958605015
"20",2021,"Bubanza",12,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,0.684900947951403,0.255212958343791
"21",2021,"Bubanza",40,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,0.684900947951403,0.255212958343791
"22",2021,"Bubanza",16,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,0.684900947951403,0.255212958343791
"23",2021,"Bubanza",17,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,0.695349110287058,0.40711958605015
"24",2021,"Bubanza",20,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,0.684900947951403,0.255212958343791
"25",2021,"Bubanza",33,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,0.695349110287058,0.40711958605015
"26",2021,"Bubanza",44,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,0.684900947951403,0.255212958343791
"27",2021,"Bubanza",46,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,0.628835591830297,0.255212958343792
"28",2021,"Bubanza",24,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,0.684900947951403,0.255212958343791
"29",2021,"Bubanza",5,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,0.695349110287058,0.40711958605015
"30",2021,"Bubanza",15,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,0.79821104053477,0.40711958605015
"31",2021,"Bubanza",31,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,0.79821104053477,0.40711958605015
"32",2021,"Bubanza",6,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,0.628835591830297,0.255212958343792
"33",2021,"Bubanza",30,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,0.628835591830297,0.255212958343792
"34",2021,"Bubanza",13,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,0.695349110287058,0.40711958605015
