"","year","admin_name","seed","access","simday","duration","coverage","net_life_lognormal_mu","net_life_lognormal_sigma","bio_mortality","indoor_net_protection","block_initial","kill_initial","net_type_PBO"
"1",2021,"Bubanza",1,0.8696819,0,-1,0.8,6.594,0.8,0.4,0.75,0.732295084910494,0.506566652462825,1
"2",2021,"Bubanza",2,0.8696819,0,-1,0.8,6.594,0.8,0.4,0.75,0.792587530912632,0.702855803114514,1
"3",2021,"Bubanza",3,0.8696819,0,-1,0.8,6.594,0.8,0.4,0.75,0.849844325325269,0.506566652462825,1
"4",2021,"Bubanza",4,0.8696819,0,-1,0.8,6.594,0.8,0.4,0.75,0.914624737339336,0.702855803114514,1
"5",2021,"Bubanza",5,0.8696819,0,-1,0.8,6.594,0.8,0.4,0.75,0.732295084910494,0.506566652462825,1
"6",2021,"Bubanza",6,0.8696819,0,-1,0.8,6.594,0.8,0.4,0.75,0.792587530912632,0.702855803114514,1
"7",2021,"Bubanza",7,0.8696819,0,-1,0.8,6.594,0.8,0.4,0.75,0.849844325325269,0.506566652462825,1
"8",2021,"Bubanza",8,0.8696819,0,-1,0.8,6.594,0.8,0.4,0.75,0.914624737339336,0.702855803114514,1
"9",2021,"Bubanza",9,0.8696819,0,-1,0.8,6.594,0.8,0.4,0.75,0.732295084910494,0.506566652462825,1
"10",2021,"Bubanza",10,0.8696819,0,-1,0.8,6.594,0.8,0.4,0.75,0.792587530912632,0.702855803114514,1
"11",2021,"Bubanza",11,0.8696819,0,-1,0.8,6.594,0.8,0.4,0.75,0.849844325325269,0.506566652462825,1
"12",2021,"Bubanza",12,0.8696819,0,-1,0.8,6.594,0.8,0.4,0.75,0.914624737339336,0.702855803114514,1
"13",2021,"Bubanza",13,0.8696819,0,-1,0.8,6.594,0.8,0.4,0.75,0.732295084910494,0.506566652462825,1
"14",2021,"Bubanza",14,0.8696819,0,-1,0.8,6.594,0.8,0.4,0.75,0.792587530912632,0.702855803114514,1
"15",2021,"Bubanza",15,0.8696819,0,-1,0.8,6.594,0.8,0.4,0.75,0.849844325325269,0.506566652462825,1
"16",2021,"Bubanza",16,0.8696819,0,-1,0.8,6.594,0.8,0.4,0.75,0.914624737339336,0.702855803114514,1
"17",2021,"Bubanza",17,0.8696819,0,-1,0.8,6.594,0.8,0.4,0.75,0.732295084910494,0.506566652462825,1
