"","year","admin_name","seed","coverage","birthday_age","net_life_lognormal_mu","net_life_lognormal_sigma","simday","duration","bio_mortality","block_initial","kill_initial","indoor_net_protection","net_type_PBO"
"1",2021,"Bubanza",1,0.6588,3,6.594,0.8,0,-1,0.64,0.734129743302374,0.511856558449652,0.75,1
"2",2021,"Bubanza",1,0.8235,1,6.594,0.8,0,-1,0.64,0.734129743302374,0.511856558449652,0.75,1
"3",2021,"Bubanza",2,0.6588,3,6.594,0.8,0,-1,0.64,0.800852749131681,0.734136502917537,0.75,1
"4",2021,"Bubanza",2,0.8235,1,6.594,0.8,0,-1,0.64,0.800852749131681,0.734136502917537,0.75,1
"5",2021,"Bubanza",3,0.6588,3,6.594,0.8,0,-1,0.64,0.852173113111923,0.511856558449652,0.75,1
"6",2021,"Bubanza",3,0.8235,1,6.594,0.8,0,-1,0.64,0.852173113111923,0.511856558449652,0.75,1
"7",2021,"Bubanza",4,0.6588,3,6.594,0.8,0,-1,0.64,0.921665076391424,0.734136502917537,0.75,1
"8",2021,"Bubanza",4,0.8235,1,6.594,0.8,0,-1,0.64,0.921665076391424,0.734136502917537,0.75,1
"9",2021,"Bubanza",5,0.6588,3,6.594,0.8,0,-1,0.64,0.734129743302374,0.511856558449652,0.75,1
"10",2021,"Bubanza",5,0.8235,1,6.594,0.8,0,-1,0.64,0.734129743302374,0.511856558449652,0.75,1
"11",2021,"Bubanza",6,0.6588,3,6.594,0.8,0,-1,0.64,0.800852749131681,0.734136502917537,0.75,1
"12",2021,"Bubanza",6,0.8235,1,6.594,0.8,0,-1,0.64,0.800852749131681,0.734136502917537,0.75,1
"13",2021,"Bubanza",7,0.6588,3,6.594,0.8,0,-1,0.64,0.852173113111923,0.511856558449652,0.75,1
"14",2021,"Bubanza",7,0.8235,1,6.594,0.8,0,-1,0.64,0.852173113111923,0.511856558449652,0.75,1
"15",2021,"Bubanza",8,0.6588,3,6.594,0.8,0,-1,0.64,0.921665076391424,0.734136502917537,0.75,1
"16",2021,"Bubanza",8,0.8235,1,6.594,0.8,0,-1,0.64,0.921665076391424,0.734136502917537,0.75,1
"17",2021,"Bubanza",9,0.6588,3,6.594,0.8,0,-1,0.64,0.734129743302374,0.511856558449652,0.75,1
"18",2021,"Bubanza",9,0.8235,1,6.594,0.8,0,-1,0.64,0.734129743302374,0.511856558449652,0.75,1
"19",2021,"Bubanza",10,0.6588,3,6.594,0.8,0,-1,0.64,0.800852749131681,0.734136502917537,0.75,1
"20",2021,"Bubanza",10,0.8235,1,6.594,0.8,0,-1,0.64,0.800852749131681,0.734136502917537,0.75,1
"21",2021,"Bubanza",11,0.6588,3,6.594,0.8,0,-1,0.64,0.852173113111923,0.511856558449652,0.75,1
"22",2021,"Bubanza",11,0.8235,1,6.594,0.8,0,-1,0.64,0.852173113111923,0.511856558449652,0.75,1
"23",2021,"Bubanza",12,0.6588,3,6.594,0.8,0,-1,0.64,0.921665076391424,0.734136502917537,0.75,1
"24",2021,"Bubanza",12,0.8235,1,6.594,0.8,0,-1,0.64,0.921665076391424,0.734136502917537,0.75,1
"25",2021,"Bubanza",13,0.6588,3,6.594,0.8,0,-1,0.64,0.734129743302374,0.511856558449652,0.75,1
"26",2021,"Bubanza",13,0.8235,1,6.594,0.8,0,-1,0.64,0.734129743302374,0.511856558449652,0.75,1
