"","year","admin_name","seed","access","simday","duration","coverage","net_life_lognormal_mu","net_life_lognormal_sigma","bio_mortality","block_initial","kill_initial","indoor_net_protection"
"1",2021,"Bubanza",41,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.716080373939438,0.461331359784742,0.75
"2",2021,"Bubanza",48,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.82062092470333,0.446653811747827,0.75
"3",2021,"Bubanza",51,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.828285381390027,0.461331359784742,0.75
"4",2021,"Bubanza",9,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.716080373939438,0.461331359784742,0.75
"5",2021,"Bubanza",14,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.710610942143496,0.446653811747827,0.75
"6",2021,"Bubanza",35,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.828285381390027,0.461331359784742,0.75
"7",2021,"Bubanza",38,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.710610942143496,0.446653811747827,0.75
"8",2021,"Bubanza",32,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.82062092470333,0.446653811747827,0.75
"9",2021,"Bubanza",21,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.716080373939438,0.461331359784742,0.75
"10",2021,"Bubanza",28,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.82062092470333,0.446653811747827,0.75
"11",2021,"Bubanza",43,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.828285381390027,0.461331359784742,0.75
"12",2021,"Bubanza",19,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.828285381390027,0.461331359784742,0.75
"13",2021,"Bubanza",42,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.710610942143496,0.446653811747827,0.75
"14",2021,"Bubanza",25,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.716080373939438,0.461331359784742,0.75
"15",2021,"Bubanza",22,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.710610942143496,0.446653811747827,0.75
"16",2021,"Bubanza",36,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.82062092470333,0.446653811747827,0.75
"17",2021,"Bubanza",34,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.710610942143496,0.446653811747827,0.75
"18",2021,"Bubanza",18,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.710610942143496,0.446653811747827,0.75
"19",2021,"Bubanza",23,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.828285381390027,0.461331359784742,0.75
"20",2021,"Bubanza",12,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.82062092470333,0.446653811747827,0.75
"21",2021,"Bubanza",40,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.82062092470333,0.446653811747827,0.75
"22",2021,"Bubanza",16,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.82062092470333,0.446653811747827,0.75
"23",2021,"Bubanza",17,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.716080373939438,0.461331359784742,0.75
"24",2021,"Bubanza",20,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.82062092470333,0.446653811747827,0.75
"25",2021,"Bubanza",33,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.716080373939438,0.461331359784742,0.75
"26",2021,"Bubanza",44,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.82062092470333,0.446653811747827,0.75
"27",2021,"Bubanza",46,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.710610942143496,0.446653811747827,0.75
"28",2021,"Bubanza",24,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.82062092470333,0.446653811747827,0.75
"29",2021,"Bubanza",5,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.716080373939438,0.461331359784742,0.75
"30",2021,"Bubanza",15,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.828285381390027,0.461331359784742,0.75
"31",2021,"Bubanza",31,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.828285381390027,0.461331359784742,0.75
"32",2021,"Bubanza",6,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.710610942143496,0.446653811747827,0.75
"33",2021,"Bubanza",30,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.710610942143496,0.446653811747827,0.75
"34",2021,"Bubanza",13,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.716080373939438,0.461331359784742,0.75
"35",2021,"Bubanza",2,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.710610942143496,0.446653811747827,0.75
"36",2021,"Bubanza",26,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.710610942143496,0.446653811747827,0.75
"37",2021,"Bubanza",27,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.828285381390027,0.461331359784742,0.75
"38",2021,"Bubanza",3,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.828285381390027,0.461331359784742,0.75
"39",2021,"Bubanza",50,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.710610942143496,0.446653811747827,0.75
"40",2021,"Bubanza",45,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.716080373939438,0.461331359784742,0.75
"41",2021,"Bubanza",29,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.716080373939438,0.461331359784742,0.75
"42",2021,"Bubanza",47,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.828285381390027,0.461331359784742,0.75
"43",2021,"Bubanza",7,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.828285381390027,0.461331359784742,0.75
"44",2021,"Bubanza",8,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.82062092470333,0.446653811747827,0.75
"45",2021,"Bubanza",1,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.716080373939438,0.461331359784742,0.75
"46",2021,"Bubanza",49,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.716080373939438,0.461331359784742,0.75
"47",2021,"Bubanza",39,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.828285381390027,0.461331359784742,0.75
"48",2021,"Bubanza",37,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.716080373939438,0.461331359784742,0.75
"49",2021,"Bubanza",10,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.710610942143496,0.446653811747827,0.75
"50",2021,"Bubanza",4,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.82062092470333,0.446653811747827,0.75
"51",2021,"Bubanza",11,0.8696819,0,-1,0.78271371,6.594,0.8,0.64,0.828285381390027,0.461331359784742,0.75
"52",2021,"Bugarama",40,0.7697939,0,-1,0.69281451,6.594,0.8,0.64,0.82062092470333,0.446653811747827,0.75
"53",2021,"Bugarama",1,0.7697939,0,-1,0.69281451,6.594,0.8,0.64,0.716080373939438,0.461331359784742,0.75
"54",2021,"Bugarama",2,0.7697939,0,-1,0.69281451,6.594,0.8,0.64,0.710610942143496,0.446653811747827,0.75
"55",2021,"Bugarama",20,0.7697939,0,-1,0.69281451,6.594,0.8,0.64,0.82062092470333,0.446653811747827,0.75
"56",2021,"Bugarama",46,0.7697939,0,-1,0.69281451,6.594,0.8,0.64,0.710610942143496,0.446653811747827,0.75
"57",2021,"Bugarama",18,0.7697939,0,-1,0.69281451,6.594,0.8,0.64,0.710610942143496,0.446653811747827,0.75
"58",2021,"Bugarama",50,0.7697939,0,-1,0.69281451,6.594,0.8,0.64,0.710610942143496,0.446653811747827,0.75
"59",2021,"Bugarama",28,0.7697939,0,-1,0.69281451,6.594,0.8,0.64,0.82062092470333,0.446653811747827,0.75
"60",2021,"Bugarama",12,0.7697939,0,-1,0.69281451,6.594,0.8,0.64,0.82062092470333,0.446653811747827,0.75
"61",2021,"Bugarama",9,0.7697939,0,-1,0.69281451,6.594,0.8,0.64,0.716080373939438,0.461331359784742,0.75
"62",2021,"Bugarama",38,0.7697939,0,-1,0.69281451,6.594,0.8,0.64,0.710610942143496,0.446653811747827,0.75
"63",2021,"Bugarama",10,0.7697939,0,-1,0.69281451,6.594,0.8,0.64,0.710610942143496,0.446653811747827,0.75
"64",2021,"Bugarama",42,0.7697939,0,-1,0.69281451,6.594,0.8,0.64,0.710610942143496,0.446653811747827,0.75
"65",2021,"Bugarama",24,0.7697939,0,-1,0.69281451,6.594,0.8,0.64,0.82062092470333,0.446653811747827,0.75
"66",2021,"Bugarama",31,0.7697939,0,-1,0.69281451,6.594,0.8,0.64,0.828285381390027,0.461331359784742,0.75
"67",2021,"Bugarama",35,0.7697939,0,-1,0.69281451,6.594,0.8,0.64,0.828285381390027,0.461331359784742,0.75
"68",2021,"Bugarama",3,0.7697939,0,-1,0.69281451,6.594,0.8,0.64,0.828285381390027,0.461331359784742,0.75
"69",2021,"Bugarama",32,0.7697939,0,-1,0.69281451,6.594,0.8,0.64,0.82062092470333,0.446653811747827,0.75
"70",2021,"Bugarama",8,0.7697939,0,-1,0.69281451,6.594,0.8,0.64,0.82062092470333,0.446653811747827,0.75
"71",2021,"Bugarama",22,0.7697939,0,-1,0.69281451,6.594,0.8,0.64,0.710610942143496,0.446653811747827,0.75
"72",2021,"Bugarama",11,0.7697939,0,-1,0.69281451,6.594,0.8,0.64,0.828285381390027,0.461331359784742,0.75
"73",2021,"Bugarama",30,0.7697939,0,-1,0.69281451,6.594,0.8,0.64,0.710610942143496,0.446653811747827,0.75
"74",2021,"Bugarama",34,0.7697939,0,-1,0.69281451,6.594,0.8,0.64,0.710610942143496,0.446653811747827,0.75
"75",2021,"Bugarama",17,0.7697939,0,-1,0.69281451,6.594,0.8,0.64,0.716080373939438,0.461331359784742,0.75
"76",2021,"Bugarama",36,0.7697939,0,-1,0.69281451,6.594,0.8,0.64,0.82062092470333,0.446653811747827,0.75
"77",2021,"Bugarama",7,0.7697939,0,-1,0.69281451,6.594,0.8,0.64,0.828285381390027,0.461331359784742,0.75
"78",2021,"Bugarama",15,0.7697939,0,-1,0.69281451,6.594,0.8,0.64,0.828285381390027,0.461331359784742,0.75
"79",2021,"Bugarama",13,0.7697939,0,-1,0.69281451,6.594,0.8,0.64,0.716080373939438,0.461331359784742,0.75
