"","year","admin_name","seed","simday","itn_u5","itn_5_10","itn_10_15","itn_15_20","itn_o20","net_life_lognormal_mu","net_life_lognormal_sigma","bio_mortality","indoor_net_protection","block_initial","kill_initial"
"1",2021,"Giteranyi",1,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,6.594,0.8,0.4,0.75,0.695349110287058,0.40711958605015
"2",2021,"Giteranyi",2,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,6.594,0.8,0.4,0.75,0.628835591830297,0.255212958343792
"3",2021,"Giteranyi",3,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,6.594,0.8,0.4,0.75,0.79821104053477,0.40711958605015
"4",2021,"Giteranyi",4,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,6.594,0.8,0.4,0.75,0.684900947951403,0.255212958343791
"5",2021,"Giteranyi",5,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,6.594,0.8,0.4,0.75,0.695349110287058,0.40711958605015
"6",2021,"Giteranyi",6,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,6.594,0.8,0.4,0.75,0.628835591830297,0.255212958343792
"7",2021,"Giteranyi",7,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,6.594,0.8,0.4,0.75,0.79821104053477,0.40711958605015
"8",2021,"Giteranyi",8,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,6.594,0.8,0.4,0.75,0.684900947951403,0.255212958343791
"9",2021,"Giteranyi",9,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,6.594,0.8,0.4,0.75,0.695349110287058,0.40711958605015
"10",2021,"Giteranyi",10,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,6.594,0.8,0.4,0.75,0.628835591830297,0.255212958343792
"11",2021,"Giteranyi",11,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,6.594,0.8,0.4,0.75,0.79821104053477,0.40711958605015
"12",2021,"Giteranyi",12,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,6.594,0.8,0.4,0.75,0.684900947951403,0.255212958343791
"13",2021,"Giteranyi",13,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,6.594,0.8,0.4,0.75,0.695349110287058,0.40711958605015
"14",2021,"Giteranyi",14,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,6.594,0.8,0.4,0.75,0.628835591830297,0.255212958343792
"15",2021,"Giteranyi",15,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,6.594,0.8,0.4,0.75,0.79821104053477,0.40711958605015
