"year","admin_name","seed","simday","itn_u5","itn_5_10","itn_10_15","itn_15_20","itn_o20","net_life_lognormal_mu","net_life_lognormal_sigma","bio_mortality","block_initial","kill_initial","indoor_net_protection"
2021,"Giteranyi",1,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.89264620917119,0.8,0.64,0.716080373939438,0.461331359784742,0.75
2021,"Giteranyi",2,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.80623497464404,0.8,0.64,0.710610942143496,0.446653811747827,0.75
2021,"Giteranyi",3,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.91766434615871,0.8,0.64,0.828285381390027,0.461331359784742,0.75
2021,"Giteranyi",4,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.97040273796984,0.8,0.64,0.82062092470333,0.446653811747827,0.75
2021,"Giteranyi",5,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.88072289504645,0.8,0.64,0.716080373939438,0.461331359784742,0.75
2021,"Giteranyi",6,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.90548897586635,0.8,0.64,0.710610942143496,0.446653811747827,0.75
2021,"Giteranyi",7,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,6.01510114177637,0.8,0.64,0.828285381390027,0.461331359784742,0.75
2021,"Giteranyi",8,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.87718213530924,0.8,0.64,0.82062092470333,0.446653811747827,0.75
2021,"Giteranyi",9,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.89354013187667,0.8,0.64,0.716080373939438,0.461331359784742,0.75
2021,"Giteranyi",10,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.80122620676886,0.8,0.64,0.710610942143496,0.446653811747827,0.75
2021,"Giteranyi",11,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.88407100637835,0.8,0.64,0.828285381390027,0.461331359784742,0.75
2021,"Giteranyi",12,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.90325823305356,0.8,0.64,0.82062092470333,0.446653811747827,0.75
2021,"Giteranyi",13,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.85381353814521,0.8,0.64,0.716080373939438,0.461331359784742,0.75
2021,"Giteranyi",14,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.88389799887374,0.8,0.64,0.710610942143496,0.446653811747827,0.75
2021,"Giteranyi",15,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.91964738017935,0.8,0.64,0.828285381390027,0.461331359784742,0.75
2021,"Giteranyi",16,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.6826397507948,0.8,0.64,0.82062092470333,0.446653811747827,0.75
2021,"Giteranyi",17,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.87050507317818,0.8,0.64,0.716080373939438,0.461331359784742,0.75
2021,"Giteranyi",18,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.79401080549975,0.8,0.64,0.710610942143496,0.446653811747827,0.75
2021,"Giteranyi",19,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.89827822823734,0.8,0.64,0.828285381390027,0.461331359784742,0.75
2021,"Giteranyi",20,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.91681691333077,0.8,0.64,0.82062092470333,0.446653811747827,0.75
2021,"Giteranyi",21,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.85309705645446,0.8,0.64,0.716080373939438,0.461331359784742,0.75
2021,"Giteranyi",22,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.90302864298365,0.8,0.64,0.710610942143496,0.446653811747827,0.75
2021,"Giteranyi",23,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.87304066104123,0.8,0.64,0.828285381390027,0.461331359784742,0.75
2021,"Giteranyi",24,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.92528726784075,0.8,0.64,0.82062092470333,0.446653811747827,0.75
2021,"Giteranyi",25,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.74239940302936,0.8,0.64,0.716080373939438,0.461331359784742,0.75
2021,"Giteranyi",26,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.91879744845636,0.8,0.64,0.710610942143496,0.446653811747827,0.75
2021,"Giteranyi",27,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.92599103694296,0.8,0.64,0.828285381390027,0.461331359784742,0.75
2021,"Giteranyi",28,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.85336004360567,0.8,0.64,0.82062092470333,0.446653811747827,0.75
2021,"Giteranyi",29,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.82259086915834,0.8,0.64,0.716080373939438,0.461331359784742,0.75
2021,"Giteranyi",30,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,6.0274066576795,0.8,0.64,0.710610942143496,0.446653811747827,0.75
2021,"Giteranyi",31,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.90110459066499,0.8,0.64,0.828285381390027,0.461331359784742,0.75
2021,"Giteranyi",32,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.85674559929273,0.8,0.64,0.82062092470333,0.446653811747827,0.75
2021,"Giteranyi",33,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.84787688919159,0.8,0.64,0.716080373939438,0.461331359784742,0.75
2021,"Giteranyi",34,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.8306803143143,0.8,0.64,0.710610942143496,0.446653811747827,0.75
2021,"Giteranyi",35,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.83102572335963,0.8,0.64,0.828285381390027,0.461331359784742,0.75
2021,"Giteranyi",36,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.79598995950214,0.8,0.64,0.82062092470333,0.446653811747827,0.75
2021,"Giteranyi",37,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.89704930426872,0.8,0.64,0.716080373939438,0.461331359784742,0.75
2021,"Giteranyi",38,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.90363655311267,0.8,0.64,0.710610942143496,0.446653811747827,0.75
2021,"Giteranyi",39,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.9247961967686,0.8,0.64,0.828285381390027,0.461331359784742,0.75
2021,"Giteranyi",40,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.98334580233576,0.8,0.64,0.82062092470333,0.446653811747827,0.75
2021,"Giteranyi",41,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.90868135542559,0.8,0.64,0.716080373939438,0.461331359784742,0.75
2021,"Giteranyi",42,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.94389982959502,0.8,0.64,0.710610942143496,0.446653811747827,0.75
2021,"Giteranyi",43,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.93817035157111,0.8,0.64,0.828285381390027,0.461331359784742,0.75
2021,"Giteranyi",44,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.85084751431398,0.8,0.64,0.82062092470333,0.446653811747827,0.75
2021,"Giteranyi",45,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.90356434063027,0.8,0.64,0.716080373939438,0.461331359784742,0.75
2021,"Giteranyi",46,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.81674687367759,0.8,0.64,0.710610942143496,0.446653811747827,0.75
2021,"Giteranyi",47,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.88879104295496,0.8,0.64,0.828285381390027,0.461331359784742,0.75
2021,"Giteranyi",48,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.9069871899843,0.8,0.64,0.82062092470333,0.446653811747827,0.75
2021,"Giteranyi",49,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.70736397195627,0.8,0.64,0.716080373939438,0.461331359784742,0.75
2021,"Giteranyi",50,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.93449401792291,0.8,0.64,0.710610942143496,0.446653811747827,0.75
2021,"Giteranyi",51,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.82774432343015,0.8,0.64,0.828285381390027,0.461331359784742,0.75
2021,"Ngozi",1,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.89264620917119,0.8,0.64,0.716080373939438,0.461331359784742,0.75
2021,"Ngozi",2,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.80623497464404,0.8,0.64,0.710610942143496,0.446653811747827,0.75
2021,"Ngozi",3,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.91766434615871,0.8,0.64,0.828285381390027,0.461331359784742,0.75
2021,"Ngozi",4,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.97040273796984,0.8,0.64,0.82062092470333,0.446653811747827,0.75
2021,"Ngozi",5,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.88072289504645,0.8,0.64,0.716080373939438,0.461331359784742,0.75
2021,"Ngozi",6,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.90548897586635,0.8,0.64,0.710610942143496,0.446653811747827,0.75
2021,"Ngozi",7,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,6.01510114177637,0.8,0.64,0.828285381390027,0.461331359784742,0.75
2021,"Ngozi",8,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.87718213530924,0.8,0.64,0.82062092470333,0.446653811747827,0.75
2021,"Ngozi",9,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.89354013187667,0.8,0.64,0.716080373939438,0.461331359784742,0.75
2021,"Ngozi",10,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.80122620676886,0.8,0.64,0.710610942143496,0.446653811747827,0.75
2021,"Ngozi",11,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.88407100637835,0.8,0.64,0.828285381390027,0.461331359784742,0.75
2021,"Ngozi",12,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.90325823305356,0.8,0.64,0.82062092470333,0.446653811747827,0.75
2021,"Ngozi",13,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.85381353814521,0.8,0.64,0.716080373939438,0.461331359784742,0.75
2021,"Ngozi",14,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.88389799887374,0.8,0.64,0.710610942143496,0.446653811747827,0.75
2021,"Ngozi",15,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.91964738017935,0.8,0.64,0.828285381390027,0.461331359784742,0.75
2021,"Ngozi",16,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.6826397507948,0.8,0.64,0.82062092470333,0.446653811747827,0.75
2021,"Ngozi",17,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.87050507317818,0.8,0.64,0.716080373939438,0.461331359784742,0.75
2021,"Ngozi",18,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.79401080549975,0.8,0.64,0.710610942143496,0.446653811747827,0.75
2021,"Ngozi",19,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.89827822823734,0.8,0.64,0.828285381390027,0.461331359784742,0.75
2021,"Ngozi",20,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.91681691333077,0.8,0.64,0.82062092470333,0.446653811747827,0.75
2021,"Ngozi",21,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.85309705645446,0.8,0.64,0.716080373939438,0.461331359784742,0.75
2021,"Ngozi",22,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.90302864298365,0.8,0.64,0.710610942143496,0.446653811747827,0.75
2021,"Ngozi",23,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.87304066104123,0.8,0.64,0.828285381390027,0.461331359784742,0.75
2021,"Ngozi",24,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.92528726784075,0.8,0.64,0.82062092470333,0.446653811747827,0.75
2021,"Ngozi",25,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.74239940302936,0.8,0.64,0.716080373939438,0.461331359784742,0.75
2021,"Ngozi",26,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.91879744845636,0.8,0.64,0.710610942143496,0.446653811747827,0.75
2021,"Ngozi",27,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.92599103694296,0.8,0.64,0.828285381390027,0.461331359784742,0.75
2021,"Ngozi",28,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.85336004360567,0.8,0.64,0.82062092470333,0.446653811747827,0.75
2021,"Ngozi",29,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.82259086915834,0.8,0.64,0.716080373939438,0.461331359784742,0.75
2021,"Ngozi",30,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,6.0274066576795,0.8,0.64,0.710610942143496,0.446653811747827,0.75
2021,"Ngozi",31,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.90110459066499,0.8,0.64,0.828285381390027,0.461331359784742,0.75
2021,"Ngozi",32,1,0.8,0.5886173904,0.5474757584,0.576349496,0.8,5.85674559929273,0.8,0.64,0.82062092470333,0.446653811747827,0.75
