"","year","admin_name","seed","nets_per_capita","simday","itn_u5","itn_5_10","itn_10_15","itn_15_20","itn_o20","net_life_lognormal_mu","net_life_lognormal_sigma","bio_mortality","indoor_net_protection","block_initial","kill_initial","net_type_PBO"
"1",2022,"Bubanza",1,0.539724657,654,0.730695750988016,0.537625282653668,0.500047763039777,0.526420159764106,0.730695750988016,6.594,0.8,0.4,0.75,0.732295084910494,0.506566652462825,1
"2",2022,"Bubanza",2,0.539724657,654,0.565121436481303,0.415800381500905,0.386737858782123,0.407134318868493,0.565121436481303,6.594,0.8,0.4,0.75,0.792587530912632,0.702855803114514,1
"3",2022,"Bubanza",3,0.539724657,654,0.643311203899603,0.473330202568083,0.44024661155269,0.463465110173362,0.643311203899603,6.594,0.8,0.4,0.75,0.849844325325269,0.506566652462825,1
"4",2022,"Bubanza",4,0.539724657,654,0.790768932140894,0.58182543155771,0.541158526053743,0.569699094364828,0.790768932140894,6.594,0.8,0.4,0.75,0.914624737339336,0.702855803114514,1
"5",2022,"Bubanza",5,0.539724657,654,0.850804660749853,0.62599802393842,0.582243658617851,0.612951046772036,0.850804660749853,6.594,0.8,0.4,0.75,0.732295084910494,0.506566652462825,1
"6",2022,"Bubanza",6,0.539724657,654,0.730695750988016,0.537625282653668,0.500047763039777,0.526420159764106,0.730695750988016,6.594,0.8,0.4,0.75,0.792587530912632,0.702855803114514,1
"7",2022,"Bubanza",7,0.539724657,654,0.565121436481303,0.415800381500905,0.386737858782123,0.407134318868493,0.565121436481303,6.594,0.8,0.4,0.75,0.849844325325269,0.506566652462825,1
"8",2022,"Bubanza",8,0.539724657,654,0.643311203899603,0.473330202568083,0.44024661155269,0.463465110173362,0.643311203899603,6.594,0.8,0.4,0.75,0.914624737339336,0.702855803114514,1
"9",2022,"Bubanza",9,0.539724657,654,0.790768932140894,0.58182543155771,0.541158526053743,0.569699094364828,0.790768932140894,6.594,0.8,0.4,0.75,0.732295084910494,0.506566652462825,1
"10",2022,"Bubanza",10,0.539724657,654,0.850804660749853,0.62599802393842,0.582243658617851,0.612951046772036,0.850804660749853,6.594,0.8,0.4,0.75,0.792587530912632,0.702855803114514,1
