"X","admin_name","year","seed","U5_coverage","adult_coverage","severe_coverage","simday","duration"
461,"Bubanza",2021,1,0.791304347826087,0.506708074534161,0.9,0,-1
462,"Bugarama",2021,1,0.407692307692308,0.076923076923077,0.6,0,-1
463,"Buhiga",2021,1,0.840909090909091,0.386363636363637,0.9,0,-1
464,"Bururi",2021,1,0.47027027027027,0.121621621621622,0.6,0,-1
465,"Busoni",2021,1,0.785227272727273,0.503409090909091,0.9,0,-1
466,"Butezi",2021,1,0.778947368421052,0.5,0.9,0,-1
467,"Buye",2021,1,0.819354838709678,0.521935483870968,0.9,0,-1
468,"Cankuzo",2021,1,0.8432,0.53488,0.9,0,-1
469,"Cibitoke",2021,1,0.748618784530387,0.48353591160221,0.9,0,-1
470,"Fota",2021,1,0.711764705882353,0.294117647058823,0.9,0,-1
471,"Gahombo",2021,1,0.801052631578948,0.357894736842105,0.9,0,-1
472,"Gashoho",2021,1,0.849532710280374,0.538317757009346,0.9,0,-1
473,"Gihofi",2021,1,0.745,0.481571428571429,0.9,0,-1
474,"Gitega",2021,1,0.749382716049383,0.483950617283951,0.9,0,-1
475,"Giteranyi",2021,1,0.858992805755396,0.543453237410072,0.9,0,-1
476,"Isale",2021,1,0.575,0.196428571428572,0.785714285714286,0,-1
477,"Kabezi",2021,1,0.48780487804878,0.134146341463415,0.6,0,-1
478,"Kayanza",2021,1,0.791735537190082,0.351239669421487,0.9,0,-1
479,"Kibumbu",2021,1,0.782524271844661,0.344660194174758,0.9,0,-1
480,"Kibuye",2021,1,0.797368421052632,0.51,0.9,0,-1
481,"Kiganda",2021,1,0.671538461538462,0.265384615384615,0.9,0,-1
482,"Kinyinya",2021,1,0.825,0.525,0.9,0,-1
483,"Kiremba",2021,1,0.802564102564103,0.512820512820513,0.9,0,-1
484,"Kirundo",2021,1,0.839259259259259,0.532740740740741,0.9,0,-1
485,"Mabayi",2021,1,0.836496350364964,0.531240875912409,0.9,0,-1
486,"Makamba",2021,1,0.668817204301076,0.440215053763441,0.9,0,-1
487,"Matana",2021,1,0.524,0.16,0.64,0,-1
488,"Mpanda",2021,1,0.714814814814815,0.465185185185186,0.9,0,-1
489,"Mukenke",2021,1,0.9,0.565714285714285,0.9,0,-1
490,"Muramvya",2021,1,0.515384615384616,0.153846153846154,0.615384615384616,0,-1
491,"Murore",2021,1,0.79922480620155,0.511007751937985,0.9,0,-1
492,"Musema",2021,1,0.807246376811594,0.36231884057971,0.9,0,-1
493,"Mutaho",2021,1,0.842696629213483,0.534606741573034,0.9,0,-1
494,"Muyinga",2021,1,0.786315789473684,0.504,0.9,0,-1
