"","year","admin_name","seed","nets_per_capita","dist_date","simday","itn_u5","itn_5_10","itn_10_15","itn_15_20","itn_o20","net_life_lognormal_mu","net_life_lognormal_sigma","bio_mortality","block_initial","kill_initial","indoor_net_protection"
"1",2010,"Bubanza",1,0.46,"2010-01-10",9,0.660740331513941,0.486154062084708,0.452174142626328,0.476021696318666,0.660740331513941,6.594,0.8,0.904395702,0.730660944143835,0.501885340292609,0.75
"2",2010,"Bubanza",2,0.46,"2010-01-10",9,0.499742588985889,0.367696473250768,0.341996191137287,0.360032986614691,0.499742588985889,6.594,0.8,0.904395702,0.784865634832106,0.674737824464642,0.75
"3",2010,"Bubanza",3,0.46,"2010-01-10",9,0.57432565070595,0.422572582197898,0.393036713986017,0.413765374155308,0.57432565070595,6.594,0.8,0.904395702,0.847751057693719,0.501885340292609,0.75
"4",2010,"Bubanza",4,0.46,"2010-01-10",9,0.727597510855762,0.535345685126818,0.497927498832138,0.524188073340716,0.727597510855762,6.594,0.8,0.904395702,0.907658992417504,0.674737824464642,0.75
"5",2010,"Bubanza",5,0.46,"2010-01-10",9,0.795429318488804,0.585254412120663,0.544347836741567,0.573056608518307,0.795429318488804,6.594,0.8,0.904395702,0.730660944143835,0.501885340292609,0.75
"6",2010,"Bubanza",6,0.46,"2010-01-10",9,0.660740331513941,0.486154062084708,0.452174142626328,0.476021696318666,0.660740331513941,6.594,0.8,0.904395702,0.784865634832106,0.674737824464642,0.75
"7",2010,"Bubanza",7,0.46,"2010-01-10",9,0.499742588985889,0.367696473250768,0.341996191137287,0.360032986614691,0.499742588985889,6.594,0.8,0.904395702,0.847751057693719,0.501885340292609,0.75
"8",2010,"Bubanza",8,0.46,"2010-01-10",9,0.57432565070595,0.422572582197898,0.393036713986017,0.413765374155308,0.57432565070595,6.594,0.8,0.904395702,0.907658992417504,0.674737824464642,0.75
"9",2010,"Bubanza",9,0.46,"2010-01-10",9,0.727597510855762,0.535345685126818,0.497927498832138,0.524188073340716,0.727597510855762,6.594,0.8,0.904395702,0.730660944143835,0.501885340292609,0.75
"10",2010,"Bubanza",10,0.46,"2010-01-10",9,0.795429318488804,0.585254412120663,0.544347836741567,0.573056608518307,0.795429318488804,6.594,0.8,0.904395702,0.784865634832106,0.674737824464642,0.75
"11",2010,"Bubanza",11,0.46,"2010-01-10",9,0.660740331513941,0.486154062084708,0.452174142626328,0.476021696318666,0.660740331513941,6.594,0.8,0.904395702,0.847751057693719,0.501885340292609,0.75
"12",2010,"Bubanza",12,0.46,"2010-01-10",9,0.499742588985889,0.367696473250768,0.341996191137287,0.360032986614691,0.499742588985889,6.594,0.8,0.904395702,0.907658992417504,0.674737824464642,0.75
"13",2010,"Bubanza",13,0.46,"2010-01-10",9,0.57432565070595,0.422572582197898,0.393036713986017,0.413765374155308,0.57432565070595,6.594,0.8,0.904395702,0.730660944143835,0.501885340292609,0.75
"14",2010,"Bubanza",14,0.46,"2010-01-10",9,0.727597510855762,0.535345685126818,0.497927498832138,0.524188073340716,0.727597510855762,6.594,0.8,0.904395702,0.784865634832106,0.674737824464642,0.75
"15",2010,"Bubanza",15,0.46,"2010-01-10",9,0.795429318488804,0.585254412120663,0.544347836741567,0.573056608518307,0.795429318488804,6.594,0.8,0.904395702,0.847751057693719,0.501885340292609,0.75
"16",2010,"Bubanza",16,0.46,"2010-01-10",9,0.660740331513941,0.486154062084708,0.452174142626328,0.476021696318666,0.660740331513941,6.594,0.8,0.904395702,0.907658992417504,0.674737824464642,0.75
"17",2010,"Bubanza",17,0.46,"2010-01-10",9,0.499742588985889,0.367696473250768,0.341996191137287,0.360032986614691,0.499742588985889,6.594,0.8,0.904395702,0.730660944143835,0.501885340292609,0.75
"18",2010,"Bubanza",18,0.46,"2010-01-10",9,0.57432565070595,0.422572582197898,0.393036713986017,0.413765374155308,0.57432565070595,6.594,0.8,0.904395702,0.784865634832106,0.674737824464642,0.75
"19",2010,"Bubanza",19,0.46,"2010-01-10",9,0.727597510855762,0.535345685126818,0.497927498832138,0.524188073340716,0.727597510855762,6.594,0.8,0.904395702,0.847751057693719,0.501885340292609,0.75
"20",2010,"Bubanza",20,0.46,"2010-01-10",9,0.795429318488804,0.585254412120663,0.544347836741567,0.573056608518307,0.795429318488804,6.594,0.8,0.904395702,0.907658992417504,0.674737824464642,0.75
"21",2010,"Bubanza",21,0.46,"2010-01-10",9,0.660740331513941,0.486154062084708,0.452174142626328,0.476021696318666,0.660740331513941,6.594,0.8,0.904395702,0.730660944143835,0.501885340292609,0.75
"22",2010,"Bubanza",22,0.46,"2010-01-10",9,0.499742588985889,0.367696473250768,0.341996191137287,0.360032986614691,0.499742588985889,6.594,0.8,0.904395702,0.784865634832106,0.674737824464642,0.75
"23",2010,"Bubanza",23,0.46,"2010-01-10",9,0.57432565070595,0.422572582197898,0.393036713986017,0.413765374155308,0.57432565070595,6.594,0.8,0.904395702,0.847751057693719,0.501885340292609,0.75
"24",2010,"Bubanza",24,0.46,"2010-01-10",9,0.727597510855762,0.535345685126818,0.497927498832138,0.524188073340716,0.727597510855762,6.594,0.8,0.904395702,0.907658992417504,0.674737824464642,0.75
"25",2010,"Bubanza",25,0.46,"2010-01-10",9,0.795429318488804,0.585254412120663,0.544347836741567,0.573056608518307,0.795429318488804,6.594,0.8,0.904395702,0.730660944143835,0.501885340292609,0.75
"26",2010,"Bubanza",26,0.46,"2010-01-10",9,0.660740331513941,0.486154062084708,0.452174142626328,0.476021696318666,0.660740331513941,6.594,0.8,0.904395702,0.784865634832106,0.674737824464642,0.75
"27",2010,"Bubanza",27,0.46,"2010-01-10",9,0.499742588985889,0.367696473250768,0.341996191137287,0.360032986614691,0.499742588985889,6.594,0.8,0.904395702,0.847751057693719,0.501885340292609,0.75
"28",2010,"Bubanza",28,0.46,"2010-01-10",9,0.57432565070595,0.422572582197898,0.393036713986017,0.413765374155308,0.57432565070595,6.594,0.8,0.904395702,0.907658992417504,0.674737824464642,0.75
"29",2010,"Bubanza",29,0.46,"2010-01-10",9,0.727597510855762,0.535345685126818,0.497927498832138,0.524188073340716,0.727597510855762,6.594,0.8,0.904395702,0.730660944143835,0.501885340292609,0.75
"30",2010,"Bubanza",30,0.46,"2010-01-10",9,0.795429318488804,0.585254412120663,0.544347836741567,0.573056608518307,0.795429318488804,6.594,0.8,0.904395702,0.784865634832106,0.674737824464642,0.75
"31",2010,"Bubanza",31,0.46,"2010-01-10",9,0.660740331513941,0.486154062084708,0.452174142626328,0.476021696318666,0.660740331513941,6.594,0.8,0.904395702,0.847751057693719,0.501885340292609,0.75
"32",2010,"Bubanza",32,0.46,"2010-01-10",9,0.499742588985889,0.367696473250768,0.341996191137287,0.360032986614691,0.499742588985889,6.594,0.8,0.904395702,0.907658992417504,0.674737824464642,0.75
"33",2010,"Bubanza",33,0.46,"2010-01-10",9,0.57432565070595,0.422572582197898,0.393036713986017,0.413765374155308,0.57432565070595,6.594,0.8,0.904395702,0.730660944143835,0.501885340292609,0.75
"34",2010,"Bubanza",34,0.46,"2010-01-10",9,0.727597510855762,0.535345685126818,0.497927498832138,0.524188073340716,0.727597510855762,6.594,0.8,0.904395702,0.784865634832106,0.674737824464642,0.75
"35",2010,"Bubanza",35,0.46,"2010-01-10",9,0.795429318488804,0.585254412120663,0.544347836741567,0.573056608518307,0.795429318488804,6.594,0.8,0.904395702,0.847751057693719,0.501885340292609,0.75
"36",2010,"Bubanza",36,0.46,"2010-01-10",9,0.660740331513941,0.486154062084708,0.452174142626328,0.476021696318666,0.660740331513941,6.594,0.8,0.904395702,0.907658992417504,0.674737824464642,0.75
"37",2010,"Bubanza",37,0.46,"2010-01-10",9,0.499742588985889,0.367696473250768,0.341996191137287,0.360032986614691,0.499742588985889,6.594,0.8,0.904395702,0.730660944143835,0.501885340292609,0.75
"38",2010,"Bubanza",38,0.46,"2010-01-10",9,0.57432565070595,0.422572582197898,0.393036713986017,0.413765374155308,0.57432565070595,6.594,0.8,0.904395702,0.784865634832106,0.674737824464642,0.75
"39",2010,"Bubanza",39,0.46,"2010-01-10",9,0.727597510855762,0.535345685126818,0.497927498832138,0.524188073340716,0.727597510855762,6.594,0.8,0.904395702,0.847751057693719,0.501885340292609,0.75
"40",2010,"Bubanza",40,0.46,"2010-01-10",9,0.795429318488804,0.585254412120663,0.544347836741567,0.573056608518307,0.795429318488804,6.594,0.8,0.904395702,0.907658992417504,0.674737824464642,0.75
