"","admin_name","year","seed","IPTp_coverage","simday","duration"
"1","Bubanza",2010,"1",0,0,365
"2","Bubanza",2011,"1",0,365,365
"3","Bubanza",2012,"1",0,730,365
"4","Bubanza",2013,"1",0.0193050193050193,1095,365
"5","Bubanza",2014,"1",0.0386100386100386,1460,365
"6","Bubanza",2015,"1",0.0579150579150579,1825,365
"7","Bubanza",2016,"1",0.0772200772200772,2190,365
"8","Bugarama",2010,"1",0,0,365
"9","Bugarama",2011,"1",0,365,365
"10","Bugarama",2012,"1",0,730,365
"11","Bugarama",2013,"1",0.0320121951219512,1095,365
"12","Bugarama",2014,"1",0.0640243902439024,1460,365
"13","Bugarama",2015,"1",0.0960365853658537,1825,365
"14","Bugarama",2016,"1",0.128048780487805,2190,365
"15","Buhiga",2010,"1",0,0,365
"16","Buhiga",2011,"1",0,365,365
"17","Buhiga",2012,"1",0,730,365
"18","Buhiga",2013,"1",0.0858433734939759,1095,365
"19","Buhiga",2014,"1",0.171686746987952,1460,365
"20","Buhiga",2015,"1",0.257530120481928,1825,365
"21","Buhiga",2016,"1",0.343373493975904,2190,365
"22","Bururi",2010,"1",0.0232558139534884,0,365
"23","Bururi",2011,"1",0.0116279069767442,365,365
"24","Bururi",2012,"1",0,730,365
"25","Bururi",2013,"1",0.0234375,1095,365
"26","Bururi",2014,"1",0.046875,1460,365
"27","Bururi",2015,"1",0.0703125,1825,365
"28","Bururi",2016,"1",0.09375,2190,365
"29","Busoni",2010,"1",0,0,365
"30","Busoni",2011,"1",0,365,365
"31","Busoni",2012,"1",0,730,365
"32","Busoni",2013,"1",0.0592105263157895,1095,365
"33","Busoni",2014,"1",0.118421052631579,1460,365
"34","Busoni",2015,"1",0.177631578947368,1825,365
"35","Busoni",2016,"1",0.236842105263158,2190,365
"36","Butezi",2010,"1",0,0,365
"37","Butezi",2011,"1",0,365,365
"38","Butezi",2012,"1",0,730,365
"39","Butezi",2013,"1",0.03125,1095,365
"40","Butezi",2014,"1",0.0625,1460,365
"41","Butezi",2015,"1",0.09375,1825,365
"42","Butezi",2016,"1",0.125,2190,365
"43","Buye",2010,"1",0,0,365
"44","Buye",2011,"1",0,365,365
"45","Buye",2012,"1",0,730,365
"46","Buye",2013,"1",0.0407801418439716,1095,365
"47","Buye",2014,"1",0.0815602836879433,1460,365
"48","Buye",2015,"1",0.122340425531915,1825,365
"49","Buye",2016,"1",0.163120567375887,2190,365
"50","Cankuzo",2010,"1",0.0065359477124183,0,365
"51","Cankuzo",2011,"1",0.0130718954248366,365,365
"52","Cankuzo",2012,"1",0.0196078431372549,730,365
"53","Cankuzo",2013,"1",0.0790715539947322,1095,365
"54","Cankuzo",2014,"1",0.13853526485221,1460,365
