"admin_name","year","insecticide","round","effective_coverage","initial_kill","mean_duration","simday"
"Buhiga",2018,"bendiocarb",1,0.75,0.6,100.988652862227,3025
"Busoni",2018,"",1,0.490663513198723,0.6,100.988652862227,3025
"Buye",2016,"",1,0.171532159819048,0.6,100.988652862227,2295
"Buye",2017,"bendiocarb",1,0.2014525708381,0.6,100.988652862227,2660
"Buye",2018,"bendiocarb",1,0.2014525708381,0.6,100.988652862227,3025
"Buye",2019,"bendiocarb - fludora fusion",1,0.262279209886657,0.6,144.269504088896,3390
"Buye",2020,"fludora fusion",1,0.6087375748881,0.6,144.269504088896,3755
"Buye",2021,"fludora fusion",1,0.6087375748881,0.6,144.269504088896,4120
"Buye",2022,"fludora fusion",1,0.6087375748881,0.6,144.269504088896,4485
"Buye",2023,"fludora fusion",1,0.6087375748881,0.6,144.269504088896,4850
"Cankuzo",2018,"malathion",1,0.75,0.85,367.887235426686,3025
"Gashoho",2016,"",1,0.332953954527715,0.6,100.988652862227,2295
"Gashoho",2017,"bendiocarb",1,0.75,0.6,100.988652862227,2660
"Gashoho",2018,"bendiocarb",1,0.664906021640574,0.6,100.988652862227,3025
"Gashoho",2019,"bendiocarb - fludora fusion",1,0.75,0.6,144.269504088896,3390
"Gashoho",2020,"fludora fusion",1,0.6087375748881,0.6,144.269504088896,3755
"Gashoho",2021,"fludora fusion",1,0.6087375748881,0.6,144.269504088896,4120
"Gashoho",2022,"fludora fusion",1,0.6087375748881,0.6,144.269504088896,4485
"Gashoho",2023,"fludora fusion",1,0.6087375748881,0.6,144.269504088896,4850
"Gihofi",2018,"bendiocarb & malathion",1,0.75,0.75,230.831206542234,3025
"Kiganda",2018,"malathion",1,0.664906021640574,0.85,367.887235426686,3025
"Kinyinya",2019,"actellic",1,0.628069802471664,0.85,367.887235426686,3390
"Kinyinya",2020,"sumithion",1,0.6087375748881,0.75,230.831206542234,3755
"Kiremba",2016,"",1,0.494375749236382,0.6,100.988652862227,2295
"Kiremba",2017,"bendiocarb",1,0.75,0.6,100.988652862227,2660
"Kiremba",2018,"bendiocarb",1,0.75,0.6,100.988652862227,3025
"Kiremba",2019,"bendiocarb - fludora fusion",1,0.75,0.6,144.269504088896,3390
"Kiremba",2020,"fludora fusion",1,0.6087375748881,0.6,144.269504088896,3755
"Kiremba",2021,"fludora fusion",1,0.6087375748881,0.6,144.269504088896,4120
"Kiremba",2022,"fludora fusion",1,0.6087375748881,0.6,144.269504088896,4485
"Kiremba",2023,"fludora fusion",1,0.6087375748881,0.6,144.269504088896,4850
"Kirundo",2018,"",1,0.75,0.6,100.988652862227,3025
"Murore",2018,"malathion",1,0.75,0.85,367.887235426686,3025
"Muyinga",2016,"",1,0.332953954527715,0.6,100.988652862227,2295
"Muyinga",2017,"bendiocarb",1,0.593759057145309,0.6,100.988652862227,2660
"Muyinga",2018,"bendiocarb",1,0.664906021640574,0.6,100.988652862227,3025
"Muyinga",2019,"bendiocarb - fludora fusion",1,0.75,0.6,144.269504088896,3390
"Muyinga",2020,"fludora fusion",1,0.6087375748881,0.6,144.269504088896,3755
"Muyinga",2021,"fludora fusion",1,0.6087375748881,0.6,144.269504088896,4120
"Muyinga",2022,"fludora fusion",1,0.6087375748881,0.6,144.269504088896,4485
"Muyinga",2023,"fludora fusion",1,0.6087375748881,0.6,144.269504088896,4850
"Nyabikere",2018,"bendiocarb",1,0.706944132368918,0.6,100.988652862227,3025
"Rutana",2018,"bendiocarb & malathion",1,0.75,0.75,230.831206542234,3025
"Ryansoro",2018,"bendiocarb",1,0.664906021640574,0.6,100.988652862227,3025
"Buye",2019,"bendiocarb - fludora fusion",2,0.628069802471664,0.6,144.269504088896,3600
"Gashoho",2017,"bendiocarb",2,0.75,0.6,100.988652862227,2870
"Gashoho",2019,"bendiocarb - fludora fusion",2,0.628069802471664,0.6,144.269504088896,3600
"Kiremba",2019,"bendiocarb - fludora fusion",2,0.628069802471664,0.6,144.269504088896,3600
"Muyinga",2017,"bendiocarb",2,0.75,0.6,100.988652862227,2870
"Muyinga",2019,"bendiocarb - fludora fusion",2,0.628069802471664,0.6,144.269504088896,3600
