"year","admin_name","seed","access","simday","duration","coverage","net_life_lognormal_mu","net_life_lognormal_sigma","bio_mortality","block_initial","kill_initial","indoor_net_protection"
2010,"Bubanza",5,0.120229971428571,0,365,0.108206974285714,5.88072289504645,0.8,0.904395702,0.730660944143835,0.501885340292609,0.75
2010,"Bubanza",6,0.120229971428571,0,365,0.108206974285714,5.90548897586635,0.8,0.904395702,0.784865634832106,0.674737824464642,0.75
2010,"Bubanza",2,0.120229971428571,0,365,0.108206974285714,5.80623497464404,0.8,0.904395702,0.784865634832106,0.674737824464642,0.75
2010,"Bubanza",16,0.120229971428571,0,365,0.108206974285714,5.6826397507948,0.8,0.904395702,0.907658992417504,0.674737824464642,0.75
2010,"Bubanza",19,0.120229971428571,0,365,0.108206974285714,5.89827822823734,0.8,0.904395702,0.847751057693719,0.501885340292609,0.75
2010,"Bubanza",18,0.120229971428571,0,365,0.108206974285714,5.79401080549975,0.8,0.904395702,0.784865634832106,0.674737824464642,0.75
2010,"Bubanza",3,0.120229971428571,0,365,0.108206974285714,5.91766434615871,0.8,0.904395702,0.847751057693719,0.501885340292609,0.75
2010,"Bubanza",27,0.120229971428571,0,365,0.108206974285714,5.92599103694296,0.8,0.904395702,0.847751057693719,0.501885340292609,0.75
2010,"Bubanza",9,0.120229971428571,0,365,0.108206974285714,5.89354013187667,0.8,0.904395702,0.730660944143835,0.501885340292609,0.75
2010,"Bubanza",43,0.120229971428571,0,365,0.108206974285714,5.93817035157111,0.8,0.904395702,0.847751057693719,0.501885340292609,0.75
2010,"Bubanza",14,0.120229971428571,0,365,0.108206974285714,5.88389799887374,0.8,0.904395702,0.784865634832106,0.674737824464642,0.75
2010,"Bubanza",4,0.120229971428571,0,365,0.108206974285714,5.97040273796984,0.8,0.904395702,0.907658992417504,0.674737824464642,0.75
2010,"Bubanza",7,0.120229971428571,0,365,0.108206974285714,6.01510114177637,0.8,0.904395702,0.847751057693719,0.501885340292609,0.75
2010,"Bubanza",20,0.120229971428571,0,365,0.108206974285714,5.91681691333077,0.8,0.904395702,0.907658992417504,0.674737824464642,0.75
