"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
1,1372728.92677451,555418.343038871,754.284898157269,439.803883768238,353.076334787257,193.91525864796,1334.40697129312,191.785920558591,558.089983532756,1306.75469996937,0.306658392768571,0.178804523939472,0.242731458354021,0.83069665543782,0.456232097498916,0.643464376468368,0.0794996813691152,0.0587759943885669,444.802323764375,63.9286401861969
3,1678980.5129034,747472.151890507,1156.39916438313,813.964881870925,958.237453030598,632.912165646477,1502.85384353936,214.750798911029,682.598136108189,1726.9233771074,0.470140009451325,0.330921596142779,0.400530802797052,2.2138652982229,1.4622495456803,1.8380574219516,0.103211496079486,0.0896482141193624,500.951281179786,71.5835996370097
5,2011197.05318168,930601.732510358,710.618547886533,532.556232829799,397.779796518072,397.779788390614,1494.27175757798,215.542583113643,817.662473922401,2067.4213141917,0.288905614176812,0.216513467016836,0.252709540596824,0.883706102134457,0.883706084078527,0.883706093106492,0.117832850250625,0.105367791197248,498.090585859326,71.8475277045477
7,1307201.33449096,453243.87619143,463.8478047602,295.474500130867,168.031734791367,168.031726599274,1412.91506028157,204.193218443292,531.449404912184,989.566980573531,0.188579703298441,0.120126673005902,0.154353188152172,0.366863547799587,0.366863529913799,0.366863538856693,0.0744382177441044,0.0450120938663986,470.971686760524,68.0644061477641
9,2063743.62360822,954723.370206018,1396.1438350178,728.284462754238,1067.12482750427,586.537276852409,1571.54597442887,224.334965311432,839.025551549796,2262.02268745009,0.567609434533633,0.296087782444202,0.431848608488917,2.52833506069411,1.38968068519056,1.95900787294234,0.126769115413834,0.115275211852582,523.848658142956,74.7783217704774
11,999712.360600639,405304.618996278,389.118797899127,251.221389602289,146.846003211864,146.846003211864,1156.92325971555,165.595938235866,406.43818599792,891.149685659667,0.158198242403237,0.102135344022839,0.130166793213038,0.322872633247322,0.322872633247322,0.322872633247322,0.0593415905093784,0.0417490148895404,385.641086571849,55.1986460786221
13,1994433.46523394,809423.311877689,991.38096414513,780.325879759551,576.860630370149,576.860621376827,1770.93381767773,254.391858696221,810.847151290799,1828.09620592801,0.403051014051609,0.317245487358136,0.360148250704873,1.30284946610021,1.30284944578864,1.30284945594443,0.118067330823177,0.0911160987749784,590.311272559242,84.7972862320736
15,1622163.04616091,713510.660907983,729.025655367175,422.269929542607,488.133334312103,318.489276580027,1150.21508645343,165.504364688341,659.498703685506,1558.17099631108,0.296389118101287,0.171676004947714,0.234032561524501,1.06598996417214,0.695519745663754,0.880754854917947,0.0953103378540053,0.0708852978699943,383.405028817811,55.1681215627804
17,1915602.31045337,721423.474159784,844.683574787844,616.716603419604,346.737684007875,346.737673954037,1912.55249995298,274.909480309385,778.797941126102,1653.64555066688,0.343410438251202,0.250729297193109,0.297069867722156,0.794791476775768,0.794791453730378,0.794791465253073,0.110088300327669,0.0771844965708369,637.517499984327,91.6364934364617
19,1862739.60995785,894649.239931805,1151.68001426227,681.570014441612,641.413144113027,485.601228912145,1324.42408474952,189.128792321434,757.306339198281,2040.86878729232,0.46822141477333,0.27709578396509,0.37265859936921,1.46318803744705,1.10775077753728,1.28546940749216,0.110982374509054,0.102099952484316,441.474694916506,63.0429307738113
21,1447209.20485899,551311.936898443,1099.19529257496,638.962017938966,405.882188219241,245.895361454138,1435.39229282686,205.032284497949,588.370322468534,1366.98751185931,0.446883482067986,0.259773284524214,0.3533283832961,1.00639192705171,0.609701814589693,0.8080468708207,0.0852049042291281,0.0646895017091316,478.464097608954,68.3440948326497
23,1790261.37568752,760629.906044032,1232.30961585275,730.311126726954,680.245435442529,517.055790997173,1490.57572799636,215.088152052907,727.839941440163,1697.16602597063,0.501001792709721,0.296911733073564,0.398956762891643,1.51780706120149,1.15368790398438,1.33574748259294,0.106027495842063,0.0858287767897974,496.858575998788,71.6960506843024
25,2129512.32469736,960425.116355082,1304.73686626323,787.504525000678,657.186536187775,487.463216439654,1531.5046716632,221.883950726919,865.764154191507,2068.6474511695,0.530447462718204,0.320164002387773,0.425305732552989,1.41550572749196,1.04994082626007,1.23272327687602,0.123218407122891,0.109762096583256,510.501557221067,73.9613169089729
27,1611317.7746406,555746.430631272,763.229607300767,422.645824521503,391.63179601371,262.55494288178,1774.73266309051,255.205782605549,655.089502942285,1251.04160061571,0.310294910132804,0.1718288269787,0.241061868555752,0.881602907247582,0.591037814888494,0.736320361068038,0.0958549181779513,0.0604929069731521,591.577554363504,85.0685942018497
29,2344127.08066029,1132628.29340219,1408.00861624152,1020.96856821806,1016.67108596149,697.15612449733,1897.81613589605,271.941799476398,953.016883616152,2354.06935064641,0.57243312217408,0.415080006191109,0.493756564182595,2.1130623851549,1.44897834078018,1.78102036296754,0.141245358761992,0.123466987873439,632.605378632017,90.6472664921328
31,1311585.53165381,449155.52986396,400.411185691216,257.236777356317,148.867209562419,148.867201506072,1201.22529281352,172.821649546335,533.231822747707,1040.91292324054,0.162789220559238,0.10458093075676,0.133685075657999,0.344998095263823,0.344998076593329,0.344998085928576,0.076125974358748,0.0437876849486099,400.408430937841,57.6072165154449
33,1990885.51045787,910819.90984688,1094.60414955965,731.951013692166,709.679548700116,540.439569810074,1622.95995176167,235.604564200819,809.404712085263,2050.96659697255,0.445016929335077,0.297578437527415,0.371297683431246,1.59804263521555,1.21695133514266,1.4074969851791,0.120238214966873,0.103203452673288,540.986650587222,78.5348547336065
35,1731508.16989438,802188.815184765,1744.07575449969,894.45823754154,1607.85012190874,727.753840793135,1252.57214205153,179.988481793018,703.953524381382,1732.73797474154,0.709062940340074,0.363646582601879,0.536354761470976,3.47297657507528,1.57195748972869,2.52246703240198,0.105528230687662,0.0936634185511227,417.52404735051,59.9961605976727
37,1894558.74726988,696151.266684197,1324.00802969606,787.297703796339,665.860089212145,530.79531673647,1882.32442496442,270.796486948615,770.242572617811,1638.95088363422,0.538282253020293,0.320079918166721,0.429181085593507,1.56763627938075,1.2496529059521,1.40864459266642,0.117990484939078,0.079764987463732,627.44147498814,90.2654956495385
39,1603889.85378069,746008.664453721,940.818780831534,623.016049741317,426.295538571574,426.295528705047,1294.20746947685,186.809716530223,652.069643631727,1714.97403067551,0.382494699179474,0.253290369394167,0.31789253428682,0.97999636315006,0.979996340468236,0.979996351809148,0.106653625400187,0.0897391971280568,431.402489825616,62.2699055100744
41,1428597.42846513,577730.031081031,523.879122264978,363.413342784289,241.955837036803,241.95582498278,1346.5244869896,194.932893951318,580.803609348001,1290.51513471172,0.212985743226814,0.147747557827477,0.180366650527146,0.540473322883298,0.540473295957402,0.54047330942035,0.0872264268299016,0.0605002936701896,448.8414956632,64.9776313171061
43,1719793.22347827,698762.043859482,835.718641055132,506.036052608173,298.358758473339,298.358734710972,1455.61807534955,209.020179713299,699.19075285021,1522.91860012019,0.339765698476527,0.205731551771595,0.272748625124061,0.650258706494924,0.650258654705975,0.650258680600449,0.106471612910104,0.0740143172784727,485.206025116516,69.6733932377665
45,1879503.06406439,832459.033779778,1627.18562789075,952.813677669522,1299.48035255048,784.979496286986,1369.52789198448,199.043856558902,764.12160741606,1854.1872310988,0.661540660039907,0.387371285990039,0.524455973014973,2.89441255243833,1.74843313559949,2.32142284401891,0.115640045679138,0.0935124325373177,456.50929732816,66.3479521863005
47,1435482.27040139,534731.703072203,522.356983786542,347.357699080708,171.503726199239,171.503726199239,1468.59427262534,211.858674358176,583.602677137635,1190.32626736634,0.21236691002399,0.141220053558158,0.176793481791074,0.381771623177154,0.381771623177154,0.381771623177154,0.0834257702180922,0.05437202844672,489.531424208446,70.619558119392
49,2039923.42238104,897540.816832939,1301.58336470597,786.268043030684,629.322239634072,471.89010073513,1726.74750347478,244.657627759664,829.34132660827,2092.28653644847,0.529165390491247,0.319661304303094,0.424413347397171,1.46703350352372,1.10003833356049,1.2835359185421,0.124243342861552,0.100204895186512,575.582501158259,81.5525425865547
