"year","mean_burden","max_burden","min_burden","scenario"
2012,5.70704269092073,10.0361093937048,2.25965195043059,"to-present"
2013,5.15825514309018,11.5851672652817,1.41419691052324,"to-present"
2014,3.40524629994011,6.48838223231777,0.736203707694662,"to-present"
2015,2.8137021915554,6.05469245436912,0.702559233675523,"to-present"
2016,3.37067974891202,9.55028391375027,1.01707602728116,"to-present"
2017,3.04339600133058,5.80241584685517,0.925802387494411,"to-present"
2018,1.98051603786201,4.02401724325649,0.673414926923105,"to-present"
2019,3.88816260058043,9.27422894093017,1.26071106253772,"to-present"
2020,2.61408295400861,6.67380635928366,0.911257460246888,"to-present"
2021,3.5909250173164,6.31115332295725,1.31269411149083,"BAU"
2022,3.45451292070649,9.11626424128392,1.21683438926253,"BAU"
2023,2.87392066284561,6.41122124328855,0.673258444628867,"BAU"
2024,4.01818269999864,10.8990434967188,0.686083436129198,"BAU"
2025,3.59128665109588,7.55165552746079,1.31868011789565,"BAU"
2026,2.70228015818088,5.67628298158747,0.620958676922007,"BAU"
2027,4.24243410834914,7.75358878217893,1.41857204440459,"BAU"
2028,3.55032869789142,8.36981058774156,1.61860060062302,"BAU"
2029,2.45812588171213,4.5249154862103,0.654500732036311,"BAU"
2030,3.83747311556354,6.40452458395371,0.967262666009324,"BAU"
2021,2.01445583088141,6.11762626991412,0.646903639405479,"GF"
2022,2.03148632745459,5.04806395183122,0.713163719307764,"GF"
2023,2.81153679127067,6.61671526092998,1.03605406974976,"GF"
2024,1.97277484903587,3.64612803137387,0.686268751739392,"GF"
2025,2.6065873520385,10.2474332053619,0.657222863664967,"GF"
2026,2.70838134116113,6.36578844515765,0.625798825901735,"GF"
2027,2.88361673463637,5.44799235474883,0.636420746710553,"GF"
2028,2.85313531665855,6.59843890395885,0.76058202770665,"GF"
2029,2.98565049494962,7.2147935214408,1.01838238434007,"GF"
2030,2.77706926796181,6.79557629145805,0.648063809494857,"GF"
2021,1.55875182614829,3.25426171819114,0.631782175936552,"GF with PBO"
2022,1.11064881583558,3.33769046061191,0.348578164477596,"GF with PBO"
2023,1.40200315254661,4.57839676919929,0.363658468047626,"GF with PBO"
2024,1.76663128629384,4.59657547835606,0.670198623701269,"GF with PBO"
2025,1.59300202192364,4.21631843489746,0.472763116817471,"GF with PBO"
2026,1.94365397919883,5.06400243590635,0.367028943332299,"GF with PBO"
2027,1.34155121535404,4.26337732090834,0.362182460544405,"GF with PBO"
2028,1.60241981008288,4.43872514291958,0.386240241205408,"GF with PBO"
2029,1.58376227380726,4.35963355073404,0.420032194866633,"GF with PBO"
2030,1.98072433004879,4.6357774904117,0.599826990869209,"GF with PBO"
2021,2.36865524980214,5.96091317204519,0.403434707033434,"GF at 80%"
2022,1.9547219920847,4.65772293700704,0.422154365218843,"GF at 80%"
2023,2.51812338867859,4.74196471696968,0.39636230208598,"GF at 80%"
2024,2.32082055131506,4.63145519831195,0.935424919940754,"GF at 80%"
2025,2.14686230209696,5.22192699628889,0.412006798232784,"GF at 80%"
2026,2.06731468130194,5.03505121327267,0.674622937404103,"GF at 80%"
2027,2.50529035466671,7.7564845543308,0.384047167148653,"GF at 80%"
2028,2.31001838881003,5.88709589559955,0.39733828856673,"GF at 80%"
2029,2.27623860253699,5.07445985499768,0.408136472249035,"GF at 80%"
2030,2.64888503839962,8.33468750745017,0.581831551998568,"GF at 80%"
2021,1.44383627875243,4.3636522828245,0.35704134701559,"GF at 80% with PBO"
2022,1.18306831368221,2.84964424018801,0.277447870548388,"GF at 80% with PBO"
2023,1.08333008470219,3.52779994406856,0.224716125489327,"GF at 80% with PBO"
2024,1.54530103568663,5.19265934113661,0.224504952509515,"GF at 80% with PBO"
2025,1.68971330092517,4.60616858793111,0.217882597972604,"GF at 80% with PBO"
2026,1.25645841194607,3.16168133426796,0.217191591990463,"GF at 80% with PBO"
2027,1.55798612553704,5.81642088928083,0.28737467146283,"GF at 80% with PBO"
2028,1.37985873169264,3.88468755123031,0.30545489122507,"GF at 80% with PBO"
2029,1.41413198186233,4.46989096425315,0.346402431909484,"GF at 80% with PBO"
2030,1.71982358837671,4.76372038027974,0.538976948837155,"GF at 80% with PBO"
2020,2.61408295400861,6.67380635928366,0.911257460246888,"BAU"
2020,2.61408295400861,6.67380635928366,0.911257460246888,"GF"
2020,2.61408295400861,6.67380635928366,0.911257460246888,"GF with PBO"
2020,2.61408295400861,6.67380635928366,0.911257460246888,"GF at 80%"
2020,2.61408295400861,6.67380635928366,0.911257460246888,"GF at 80% with PBO"
