"year","mean_coverage","max_coverage","min_coverage","new_net_per_cap","irs_per_cap","scenario"
2012,0.140801884560993,0.182379534765958,0.109877819981656,0.0803750027005235,0,"to-present"
2013,0.117784825619337,0.145092671232621,0.0951316321955665,0.0880934643304005,0,"to-present"
2014,0.339221784067253,0.402061787615843,0.279331183538837,0.779999839375069,0,"to-present"
2015,0.371554784830894,0.4696475413392,0.296527693469666,0.10367120638751,0,"to-present"
2016,0.208235055281301,0.26678768438063,0.165247441802586,0.111044057105657,0.0307105958612456,"to-present"
2017,0.302082701043718,0.358795303895596,0.253462829880571,0.818707729411026,0.0850147095238768,"to-present"
2018,0.4458745827546,0.552045260387586,0.359754388805879,0.116841010383783,0.190356398413854,"to-present"
2019,0.253084175236712,0.320988962051667,0.20619706746301,0.836952793914715,0.131424668589098,"to-present"
2020,0.543585552401492,0.649204564905259,0.446050367451027,0.118349839182954,0.0710332901749601,"to-present"
2021,0.277806978951084,0.353079508885134,0.221293784353692,0.11851495256936,0.0529629344866774,"BAU"
2022,0.290293131531793,0.34905846384219,0.246620625879529,0.836690311238338,0.0531942486758361,"BAU"
2023,0.482036204258953,0.586416918867995,0.394515023721434,0.117565892411443,0.0534313684440448,"BAU"
2024,0.251811684769122,0.319584518343305,0.204106515832818,0.118098677620619,0.0535293488545088,"BAU"
2025,0.282059127228018,0.336472778615485,0.239031888787409,0.836839327161537,0.0535557706050334,"BAU"
2026,0.480893715870854,0.585975976171949,0.390328157088164,0.117177154164887,0.0533626936109163,"BAU"
2027,0.250573911434206,0.316740073037541,0.198165989512909,0.117867374643111,0.053520490238686,"BAU"
2028,0.28172396924266,0.336198406650387,0.238703266905209,0.835393228702512,0.0533134627380037,"BAU"
2029,0.480004184646083,0.586425260570024,0.391313464342681,0.117433619134953,0.053396251033112,"BAU"
2030,0.250850790916878,0.322820762736015,0.203147561465374,0.117751049566555,0.0533228559981474,"BAU"
2021,0.311798192240224,0.383743187844205,0.259494765027424,0.176612721939758,0.052955492492455,"GF"
2022,0.311235714555981,0.367748093395727,0.270774424732397,0.771585314108616,0.0535238910385934,"GF"
2023,0.466417873349226,0.555063330737152,0.388526847303097,0.176464890150096,0.0533314376761512,"GF"
2024,0.274988636045816,0.330765847102534,0.229941879478157,0.176624927443322,0.0532728590183646,"GF"
2025,0.299825824721486,0.344524694075367,0.261482986282812,0.772336425832722,0.0532148734739077,"GF"
2026,0.463936279058652,0.551800029239533,0.389038894604477,0.175847082133464,0.0533694847945665,"GF"
2027,0.273244139145977,0.329772451118953,0.227913582672286,0.176530319168871,0.0534323997971302,"GF"
2028,0.299207979893355,0.34391126785319,0.262550874726674,0.771608053033358,0.0531961919074155,"GF"
2029,0.463546256169807,0.551603225936971,0.385799250919054,0.176303843744269,0.0533789432446324,"GF"
2030,0.273359662284255,0.329794355717667,0.230596475485006,0.175813682416427,0.0533340739909129,"GF"
2021,0.311811699542278,0.383490987040063,0.259802405650112,0.176542966888055,0.0529580102679945,"GF with PBO"
2022,0.311002333973981,0.365316640593897,0.270542367373364,0.772018242060795,0.0533549253930363,"GF with PBO"
2023,0.465899895332335,0.554404871629458,0.388788112238852,0.17584534793853,0.0533216562775049,"GF with PBO"
2024,0.274199562392626,0.332615648832834,0.228526220690373,0.176230858712918,0.0536483745688563,"GF with PBO"
2025,0.29967410078985,0.346659262115545,0.261469136033691,0.772488007016845,0.0534415766290704,"GF with PBO"
2026,0.463841654838502,0.552115023898529,0.390125927466246,0.175788735787778,0.0532881726716155,"GF with PBO"
2027,0.273124829427815,0.328797982103363,0.227524898217446,0.176420425567992,0.0534194605132411,"GF with PBO"
2028,0.298998889553076,0.346585760645611,0.258520213420357,0.771759140231942,0.0532950482174968,"GF with PBO"
2029,0.463187878142599,0.55474503631296,0.384480289186171,0.17618074860725,0.0534909678942087,"GF with PBO"
2030,0.273267092543559,0.330767536393706,0.229082110282464,0.176272938602536,0.0535198814502406,"GF with PBO"
2021,0.313791205013794,0.384549851204366,0.261307941194806,0.181820793002881,0.0702727907919955,"GF at 80%"
2022,0.326404586370308,0.368785919545456,0.292345841071276,0.856819411650359,0.069958535229889,"GF at 80%"
2023,0.506046890086861,0.562180888440193,0.451057383599845,0.181682324132071,0.0699182115873036,"GF at 80%"
2024,0.290711108142476,0.33950770004288,0.243049101077508,0.181612123733646,0.0701449654028405,"GF at 80%"
2025,0.319133161978093,0.350231175412624,0.289590762604239,0.857262956951995,0.0702028441463099,"GF at 80%"
2026,0.503885048704205,0.559577119651705,0.448463848505861,0.181380972793548,0.0699631496433277,"GF at 80%"
2027,0.289422387158388,0.335799402605384,0.241256978239638,0.181892310430436,0.0701444580590469,"GF at 80%"
2028,0.318651000402619,0.35057571440801,0.287022845476018,0.856584551516468,0.0701987096558813,"GF at 80%"
2029,0.503417494849542,0.555051422843247,0.448623444457405,0.182016818183308,0.070197137881083,"GF at 80%"
2030,0.288717875614688,0.33421254372222,0.23952475203944,0.181137255700272,0.069861318041359,"GF at 80%"
2021,0.313849776551982,0.385201608366682,0.261936968579909,0.181738024725416,0.070267838412215,"GF at 80% with PBO"
2022,0.326108314631451,0.369155528282691,0.291308455214672,0.856208371709261,0.0701525732292848,"GF at 80% with PBO"
2023,0.505912428074771,0.562106328536816,0.4500647154386,0.181113562166816,0.069989639557293,"GF at 80% with PBO"
2024,0.290833140082282,0.339982811460186,0.242243552660422,0.181806295757724,0.070103252114728,"GF at 80% with PBO"
2025,0.319095509735511,0.351304255024831,0.287800003127148,0.857137777391088,0.0699276778215728,"GF at 80% with PBO"
