"year","date","mean_coverage","max_coverage","min_coverage","new_net_per_cap","irs_per_cap","scenario"
2012,2012-01-01,0.338948859906728,0.394416796929858,0.281063594653115,0.00657899789042281,0,"to-present"
2012,2012-02-01,0.331163829704534,0.385090342360879,0.275230729645492,0.00626304676420896,0,"to-present"
2012,2012-03-01,0.32358446445515,0.375535363842017,0.270189332976411,0.00664997654936625,0,"to-present"
2012,2012-04-01,0.31589651951321,0.365886630797315,0.265637651125749,0.00666580220210588,0,"to-present"
2012,2012-05-01,0.308923253491262,0.356562468756203,0.261078955602253,0.00688179718576016,0,"to-present"
2012,2012-06-01,0.302227940598073,0.348371261655626,0.256741042964053,0.00673016520132626,0,"to-present"
2012,2012-07-01,0.295791961163453,0.340045477152015,0.252758195504719,0.00668004932936955,0,"to-present"
2012,2012-08-01,0.289790811712541,0.332593710404475,0.248108061595905,0.00686484658656474,0,"to-present"
2012,2012-09-01,0.284048649568102,0.323915694849482,0.244183666900956,0.00657827578660318,0,"to-present"
2012,2012-10-01,0.278821388587813,0.317586671540968,0.240340877628792,0.00700238775821268,0,"to-present"
2012,2012-11-01,0.2737152123225,0.310680609632301,0.235613792407749,0.00644325046739443,0,"to-present"
2012,2012-12-01,0.268824812558748,0.303604688556749,0.232784601478879,0.00707352945326058,0,"to-present"
2013,2013-01-01,0.264330982024354,0.297386229925589,0.229244546763226,0.00739881300457386,0,"to-present"
2013,2013-02-01,0.260400439668639,0.292822103406084,0.226744568604765,0.00676557539771819,0,"to-present"
2013,2013-03-01,0.256750024554099,0.289164910637678,0.223489942477863,0.00766325899818099,0,"to-present"
2013,2013-04-01,0.253255512009024,0.284648851217987,0.222031242695848,0.00720470622504687,0,"to-present"
2013,2013-05-01,0.250144767085387,0.281525715253709,0.218663567283854,0.00765243265489777,0,"to-present"
2013,2013-06-01,0.247193477334912,0.27771991881338,0.217114473032051,0.00724234513656937,0,"to-present"
2013,2013-07-01,0.244050369315386,0.273291725548748,0.215876474139199,0.00742585070688037,0,"to-present"
2013,2013-08-01,0.241105587934506,0.269788415690356,0.213826893355803,0.00752284366502245,0,"to-present"
2013,2013-09-01,0.238484348298209,0.265951768376976,0.211464778202188,0.00708700896413363,0,"to-present"
2013,2013-10-01,0.235631957150962,0.26241820332988,0.20952746487161,0.00752405346382784,0,"to-present"
2013,2013-11-01,0.233304981455565,0.258292865016735,0.20873774747846,0.00735539823739774,0,"to-present"
2013,2013-12-01,0.231150203852585,0.25512564281989,0.206682872554915,0.00743249837938564,0,"to-present"
2014,2014-01-01,0.22902404144791,0.252582609928921,0.204796776740029,0.00785967410023149,0,"to-present"
2014,2014-02-01,0.227251693195247,0.250305793992839,0.204085528474822,0.00735494902522176,0,"to-present"
2014,2014-03-01,0.225534028900727,0.247741716165589,0.202353146232277,0.00781845865091266,0,"to-present"
2014,2014-04-01,0.223878898326121,0.246157660867652,0.202440655251002,0.00781261297205448,0,"to-present"
2014,2014-05-01,0.222368293389626,0.243441461576454,0.202300621659351,0.00822750607639177,0,"to-present"
2014,2014-06-01,0.221301597893285,0.240571984027131,0.202051835834548,0.00803041153459569,0,"to-present"
2014,2014-07-01,0.466209174012923,0.5260038788237,0.399086454030293,0.692086119287107,0,"to-present"
2014,2014-08-01,0.667267974330936,0.762103838413439,0.561178186237192,0.00814990595197307,0,"to-present"
2014,2014-09-01,0.665251798203967,0.759724361171877,0.559038548358614,0.00788049613528926,0,"to-present"
2014,2014-10-01,0.661936689433759,0.756854178835727,0.555905494408564,0.00829901886960052,0,"to-present"
2014,2014-11-01,0.65632184808059,0.750140313168883,0.551008983210031,0.007798905323502,0,"to-present"
2014,2014-12-01,0.647919731916448,0.738837859658664,0.545215678419331,0.00820030268782518,0,"to-present"
2015,2015-01-01,0.637286097243562,0.726354132032595,0.536766100413513,0.00872111536285037,0,"to-present"
2015,2015-02-01,0.625561159573371,0.711621309277873,0.527811153372322,0.00788790214872042,0,"to-present"
2015,2015-03-01,0.612646694587072,0.69622646267886,0.517984574212445,0.00885068010339843,0,"to-present"
2015,2015-04-01,0.598262032656796,0.680143945284775,0.505549008266633,0.00848660385838489,0,"to-present"
2015,2015-05-01,0.58342101552764,0.662815119007195,0.494645787251575,0.00874350591460707,0,"to-present"
2015,2015-06-01,0.568221015146399,0.644172489426381,0.483113584246758,0.00858163194907657,0,"to-present"
2015,2015-07-01,0.5529589393999,0.62536005565778,0.472000205488064,0.00864957011694447,0,"to-present"
2015,2015-08-01,0.537878370809688,0.607237183012021,0.459247720486611,0.00869559189687536,0,"to-present"
2015,2015-09-01,0.523412071994182,0.590840566835004,0.447276147192231,0.00854012033236389,0,"to-present"
2015,2015-10-01,0.509462047946696,0.57473086623142,0.437005924488125,0.00861123026345281,0,"to-present"
2015,2015-11-01,0.495745825580452,0.559388030134439,0.426319667624327,0.00873304412234993,0,"to-present"
2015,2015-12-01,0.482504803314659,0.542495797122465,0.414548575088191,0.00870712210653858,0,"to-present"
2016,2016-01-01,0.469473011609372,0.526824100612914,0.404465920411743,0.00924907479672006,0,"to-present"
2016,2016-02-01,0.457841173604516,0.51158666257771,0.395911337618426,0.0085384196789858,0,"to-present"
2016,2016-03-01,0.44679869227631,0.499074242774216,0.386960278698656,0.00926295562055206,0,"to-present"
2016,2016-04-01,0.435784574103813,0.48530702448356,0.377635478549427,0.00926410443532607,0.03076153585417,"to-present"
2016,2016-05-01,0.425317205418488,0.472429481149794,0.369027604401762,0.00958921110897236,0,"to-present"
2016,2016-06-01,0.415330855835722,0.459868978095558,0.361371436140905,0.00913110180118435,0,"to-present"
2016,2016-07-01,0.40574345505046,0.44883269559478,0.354317354946605,0.00955615013321134,0,"to-present"
2016,2016-08-01,0.396536651111537,0.437513279994836,0.347380737215823,0.00946044938071364,0,"to-present"
2016,2016-09-01,0.388187221363988,0.428155139684037,0.341512392541029,0.00929350628067948,0,"to-present"
2016,2016-10-01,0.380238175896453,0.419198097485562,0.336052072366618,0.00977284696895729,0,"to-present"
2016,2016-11-01,0.372429652815291,0.409566508272417,0.331056625452914,0.00909604408661386,0,"to-present"
2016,2016-12-01,0.365215075588806,0.400686982658338,0.325775670946809,0.00967372400052786,0,"to-present"
2017,2017-01-01,0.358151626392281,0.391179163690883,0.319773505524751,0.00996077375312879,0,"to-present"
2017,2017-02-01,0.352179395123432,0.384268338159221,0.314740780474125,0.00916410572720707,0,"to-present"
2017,2017-03-01,0.345886412539333,0.375835812247499,0.309991522416405,0.00984624705527831,0,"to-present"
2017,2017-04-01,0.340150602982966,0.369349685515893,0.30635387370672,0.00978583707139962,0.0516661919930231,"to-present"
2017,2017-05-01,0.334608649880954,0.362354724602033,0.303185936435607,0.0101098983599906,0,"to-present"
2017,2017-06-01,0.329432174368456,0.355425842077553,0.299648432147473,0.00948629666152669,0,"to-present"
2017,2017-07-01,0.324127474697781,0.349879741625017,0.294985913854683,0.00964187974308749,0,"to-present"
2017,2017-08-01,0.318926127926878,0.343594646229959,0.291159481038038,0.00954772571188828,0,"to-present"
2017,2017-09-01,0.471639178547021,0.518840884442244,0.416448362974868,0.711348054027487,0,"to-present"
2017,2017-10-01,0.705749086436112,0.788577370736942,0.609684611701977,0.00993145222399346,0,"to-present"
2017,2017-11-01,0.703979180879835,0.787887535934966,0.607555449089379,0.00979386902130922,0.0332811056213143,"to-present"
2017,2017-12-01,0.700740768354768,0.783824064112828,0.605318901245984,0.0100861872884437,0,"to-present"
2018,2018-01-01,0.695046575383209,0.778086103033135,0.599221046669642,0.00982074213407379,0,"to-present"
2018,2018-02-01,0.686987182321414,0.768922626636056,0.593420579292388,0.00889459053668113,0,"to-present"
2018,2018-03-01,0.6768956007437,0.75696388214267,0.586019681878514,0.00973102581333343,0,"to-present"
2018,2018-04-01,0.664588205410776,0.74194849424552,0.576915927973121,0.00978725233628534,0.190179151387192,"to-present"
2018,2018-05-01,0.650722654523263,0.727436040029535,0.564917637404974,0.0101371275959591,0,"to-present"
2018,2018-06-01,0.636019978238449,0.710506789922913,0.552851741129898,0.00981911836621885,0,"to-present"
2018,2018-07-01,0.62048703389351,0.694244954793839,0.54077943309309,0.00993415300021176,0,"to-present"
2018,2018-08-01,0.604333868190247,0.672437819452342,0.527193566177779,0.0099656506390907,0,"to-present"
2018,2018-09-01,0.58830539451196,0.653928020408026,0.513649618887206,0.00947973195239175,0,"to-present"
2018,2018-10-01,0.572931306731318,0.635340552537252,0.500944383393351,0.01012866292203,0,"to-present"
2018,2018-11-01,0.557526552985696,0.618558301094355,0.487831827483647,0.00956075283866671,0,"to-present"
2018,2018-12-01,0.542601781514431,0.599834854852046,0.476814986234724,0.0102014531828735,0,"to-present"
2019,2019-01-01,0.527634042900438,0.582550352975657,0.464597613941177,0.00985996612094832,0,"to-present"
2019,2019-02-01,0.513983168947363,0.566737046749801,0.452863402696803,0.00907928746815989,0,"to-present"
2019,2019-03-01,0.500552570047135,0.550915187232327,0.44220238361472,0.00991814349296273,0,"to-present"
2019,2019-04-01,0.48766061694567,0.535525031945161,0.432221263349559,0.00980334327953925,0.0757507798038989,"to-present"
2019,2019-05-01,0.475338019848502,0.520984970862524,0.422410346653075,0.0103263916628193,0,"to-present"
2019,2019-06-01,0.463253626946328,0.506971761902302,0.414469623907535,0.00953735549910037,0,"to-present"
2019,2019-07-01,0.451848068323119,0.494054027694284,0.40508252918072,0.00992726343619065,0,"to-present"
2019,2019-08-01,0.440626770861837,0.480428889867453,0.395490945179929,0.00959460473768415,0,"to-present"
2019,2019-09-01,0.430221771915454,0.467804521303747,0.386076470697098,0.00992608104799396,0,"to-present"
2019,2019-10-01,0.420396236401502,0.456586172873834,0.378565185464631,0.0100410348476307,0,"to-present"
2019,2019-11-01,0.411052518067151,0.446448087815673,0.371020760727703,0.0097751373120773,0.0550666134387143,"to-present"
2019,2019-12-01,0.522843749377012,0.570621416886544,0.467567449968502,0.729484478537907,0,"to-present"
2020,2020-01-01,0.738295457579051,0.809972259872529,0.653072221611397,0.0101303019534568,0,"to-present"
2020,2020-02-01,0.735415213724154,0.808711924741879,0.648762652701209,0.00896940348985232,0,"to-present"
2020,2020-03-01,0.731435945539925,0.804580335672703,0.644705770299047,0.0102035206444227,0,"to-present"
2020,2020-04-01,0.724964369948048,0.797965362473852,0.638665312297375,0.00973385092604581,0.0715145552653235,"to-present"
2020,2020-05-01,0.716316431365484,0.788652966493836,0.631056209354121,0.0102534168716897,0,"to-present"
2020,2020-06-01,0.705187933097791,0.776433048182098,0.620788661495981,0.00973034821272912,0,"to-present"
2020,2020-07-01,0.691587847115369,0.760897182874576,0.60993980315463,0.0101473653579591,0,"to-present"
2020,2020-08-01,0.67670077739618,0.744246868273734,0.59700566374662,0.0100311014781373,0,"to-present"
2020,2020-09-01,0.660889205695157,0.728205079359163,0.582135004830241,0.00953291776038744,0,"to-present"
2020,2020-10-01,0.644401218017608,0.708816263602496,0.568425119113606,0.0102678236305126,0,"to-present"
2020,2020-11-01,0.627522997883967,0.690098017416148,0.555218604140215,0.00938370290316269,0,"to-present"
2020,2020-12-01,0.610706358991736,0.671772767572117,0.540791374900016,0.0101832390251136,0,"to-present"
2021,2021-01-01,0.593837241296609,0.652682150197676,0.52701053094179,0.0100058548580328,0.0529516090038489,"BAU"
2021,2021-02-01,0.57814726480694,0.633961522425524,0.513781927416496,0.00904066292394599,0,"BAU"
2021,2021-03-01,0.562777716809758,0.61584854912134,0.499850269923186,0.00995094461182255,0,"BAU"
2021,2021-04-01,0.547344064667559,0.598674433226607,0.486826502983856,0.00945946339772735,0,"BAU"
2021,2021-05-01,0.532176534047583,0.581365365888655,0.474897837056891,0.0102994954879073,0,"BAU"
