"admin_name","pop_size","pfpr_u1","mortality_pp_u1","node_id.x","lon.x","lat.x","cluster_id.x","seasonality_archetype.x","deaths_u1","cases_pp_u1","node_id.y","lon.y","lat.y","cluster_id.y","seasonality_archetype.y","clinical_cases_u1","mortality_rate_u1","incidence_u1","frac_u1","pop_size_u1"
"Busoni",218791.205835172,0.207319823788922,0.00157125365118602,5,30.25180248,-2.47173859,1,"Gitega",343.776481015906,0.465826223541582,5,30.25180248,-2.47173859,1,"Gitega",101918.681158307,12.9805314657187,3837.255816904,0.0404938941394149,8859.7079277244
"Buye",194429.100944065,0.060479583926189,0.000580464713322814,7,29.8634721,-2.84840217,1,"Gitega",112.859232341109,0.163204392440476,7,29.8634721,-2.84840217,1,"Gitega",31731.683292324,4.75073744682615,1321.23538101684,0.0412081093510556,8012.05565273045
"Gashoho",175175.077974295,0.147737471123929,0.00118896735941944,12,30.20685363,-2.81184823,1,"Gitega",208.277449895192,0.414215097318185,12,30.20685363,-2.81184823,1,"Gitega",72560.1619708433,9.7491830246615,3408.76020239209,0.040526452376175,7099.224455018
"Gihofi",293350.813541338,0.0972753360981687,0.000771619456879379,13,30.11562611,-3.91875872,1,"Gitega",226.355195419891,0.218969376516595,13,30.11562611,-3.91875872,1,"Gitega",64234.8447417828,6.44338605574044,1802.53137715666,0.0406871593424342,11935.6112937891
"Kinyinya",335969.532434028,0.219271832544482,0.00179295709948589,22,30.41267628,-3.52205978,1,"Gitega",602.378958388545,0.576438155457813,22,30.41267628,-3.52205978,1,"Gitega",193665.657566295,14.3402800189208,4593.83642299802,0.0418176259905986,14049.4482515625
"Kiremba",294281.031087941,0.221897976499822,0.0017162145448965,23,30.02654773,-2.83495738,1,"Gitega",505.049385840264,0.549800854480004,23,30.02654773,-2.83495738,1,"Gitega",161795.962349406,13.5431446582537,4323.84919234627,0.0424040489092332,12478.7072353126
"Kirundo",256307.246344997,0.211543042013997,0.00174390810621597,24,30.06174634,-2.49096793,1,"Gitega",446.976284582933,0.543944029050259,24,30.06174634,-2.49096793,1,"Gitega",139416.796251675,14.1511801377309,4410.42212504227,0.0410097991422094,10511.1086913011
"Mukenke",165895.919547284,0.192820473450527,0.00141419792673048,29,30.2945314,-2.59545461,1,"Gitega",234.609665476815,0.620822871695956,29,30.2945314,-2.59545461,1,"Gitega",102991.981175986,11.5335929496388,5010.65131841123,0.0411889119724062,6833.07242681445
"Murore",149893.801163942,0.202805041020187,0.0014935142801837,31,30.73189158,-3.13601584,1,"Gitega",223.868532549364,0.48193826479379,31,30.73189158,-3.13601584,1,"Gitega",72239.5584362957,11.9757040297998,3841.6128152306,0.0417825363137506,6262.94319033852
"Muyinga",326814.238908712,0.112012710788478,0.000945463812261262,34,30.3660234,-2.92732926,1,"Gitega",308.991036219894,0.270119157954976,34,30.3660234,-2.92732926,1,"Gitega",88278.7870217177,7.98871160922393,2258.31370944291,0.0396486542807504,12957.7447725181
"Vumbi",220988.71850429,0.231532871579785,0.00181576877944252,43,30.03599031,-2.63887858,1,"Gitega",401.264415669102,0.569193817483542,43,30.03599031,-2.63887858,1,"Gitega",125785.412306253,14.8149643492693,4584.90322253365,0.0414081897247693,9150.74278285928
