"Run_Number","cases_U1_sum","deaths_1_U1_sum","deaths_2_U1_sum","incidence_U1","death_rate_1_U1","death_rate_2_U1","death_rate_mean_U1","average_PfPR_U1"
1,1102067.22117253,4273.05952978541,3445.51393140112,3369.8751835114,13.0660607542346,10.5356113209847,11.8008360376096,0.168816696737721
3,1266815.45046461,4845.59881904952,3926.92909135525,3815.93521848268,14.596041737151,11.8288003313276,13.2124210342393,0.197838170828338
5,1050775.61678687,3257.49683640523,2807.5557254692,3133.04653646294,9.71271984027054,8.37115231937484,9.04193607982269,0.151922246145146
7,1198627.36526731,3637.00703056548,2942.56633941871,3699.13714537803,11.2243289237481,9.08118466530702,10.1527567945276,0.170323182000822
9,1263165.92209451,3997.83283659174,3171.81842829131,3819.78766883424,12.0893639577867,9.591513441147,10.8404386994668,0.186948873394037
11,1127464.53633172,3780.79827937591,3270.48297065528,3383.14312586997,11.3449082405624,9.81362306653678,10.5792656535496,0.162394968010346
13,1285199.18881841,4717.95198562928,3636.33920811966,4057.29846439002,14.8942977189073,11.4797096150282,13.1870036669678,0.198823986637023
15,1040522.37105802,3356.32319147982,2708.13090096748,3117.19397075321,10.0548635064346,8.11301087925917,9.08393719284687,0.148927923945179
17,1229642.16007371,3938.24666358257,3265.73090507531,3808.00401800565,12.1961165660754,10.1134434163404,11.1547799912079,0.183747698243534
19,1182611.13840789,3589.76158675311,3208.2753738113,3713.0330753187,11.2707407120036,10.0729920350058,10.6718663735047,0.178812476937713
21,1145247.93993897,4015.37834545362,3237.23682704191,3468.7490823503,12.1618554946484,9.8050054329289,10.9834304637887,0.170491930838431
23,1259009.80486908,4150.52613795708,3459.98559658594,3773.17788743717,12.4388812417534,10.3693720997246,11.404126670739,0.190638458239011
25,970377.332913183,3483.14802371452,2898.74815767556,2939.72118752209,10.5520643334167,8.7816471875192,9.66685576046797,0.14230006424551
27,1211972.93671367,4789.31215247406,3917.42657216927,3706.57828161928,14.6471590829338,11.9806703700936,13.3139147265137,0.192905569047335
29,1221594.06830269,4109.72976503396,3159.38518691974,3720.46926042248,12.5165336474633,9.62217791880806,11.0693557831357,0.181722551269474
31,1141096.71537934,3975.59614551837,3115.39943489192,3421.16882613967,11.919397729444,9.34040671923431,10.6299022243391,0.163769440092548
33,1245499.67669393,4495.41209549147,3753.79899926881,3838.78221709121,13.8554094662444,11.5696672705512,12.7125383683978,0.197851420221752
35,1003919.00134561,4296.65604618271,3312.4989718802,3032.45993402954,12.9785742603644,10.0058076401351,11.4921909502498,0.145477650214413
37,1191163.6843038,3824.46669730992,3267.49543026928,3725.42373163217,11.9612100190266,10.2192546493218,11.0902323341742,0.193778437995692
39,1199029.08647931,4226.36798876382,3317.81022183429,3596.84591065804,12.6782532540203,9.95276283395654,11.3155080439884,0.176558912930915
41,1144794.26336093,4283.21979475075,3340.67490302596,3348.62608158193,12.5288027525068,9.77177425532924,11.150288503918,0.167212572643412
43,1250333.59115266,4486.29062861202,3583.48023057132,3856.75978728224,13.8383431533188,11.0535480687577,12.4459456110383,0.199861574840616
45,943278.201127286,3550.90755570102,2926.61642673168,2977.58068939303,11.2089029037664,9.2382465184529,10.2235747111096,0.14796612231975
47,1163527.83223448,4381.69809705327,3502.40608481174,3634.09396764059,13.6855365049099,10.9392078748977,12.3123721899038,0.189525656994321
49,1227577.84759356,4956.14256471498,3879.54055232518,3666.72941115186,14.8038136591716,11.5880434571648,13.1959285581682,0.186672884730734
